"osite","lohko","koeala","paino","T"
1,44067,7,3.8595066773,12.1233333333333
1,44070,10,3.8595066773,12.1466666666667
1,44071,2,3.8595066773,12.4166666666667
1,44071,3,3.8595066773,12.4166666666667
1,44078,2,3.8595066773,12.12
1,44078,3,3.8595066773,12.12
1,44078,4,3.8595066773,12.12
1,44078,8,3.8595066773,12.12
1,44079,5,3.8595066773,12.39
1,44079,6,3.8595066773,12.39
1,44079,8,3.8595066773,12.39
1,44082,4,3.8595066773,12.2166666666667
1,44084,2,3.8595066773,11.98
1,44085,4,3.8595066773,11.6833333333333
1,44085,8,3.8595066773,11.6833333333333
1,44085,9,3.8595066773,11.6833333333333
1,44086,4,3.8595066773,11.3166666666667
1,44086,5,3.8595066773,11.3166666666667
1,44086,6,3.8595066773,11.3166666666667
1,44087,2,3.8595066773,11.3166666666667
1,44088,5,3.8595066773,11.3433333333333
1,44090,3,3.8595066773,11.24
1,44090,5,3.8595066773,11.24
1,44090,7,3.8595066773,11.24
1,44091,8,3.8595066773,11.1766666666667
1,44092,1,3.8595066773,11.1766666666667
1,44092,2,3.8595066773,11.1766666666667
1,44092,3,3.8595066773,11.1766666666667
1,44092,4,3.8595066773,11.1766666666667
1,44092,7,3.8595066773,11.1766666666667
1,44092,8,3.8595066773,11.1766666666667
1,44092,9,3.8595066773,11.1766666666667
1,44092,10,3.8595066773,11.1766666666667
1,45020,8,3.8595066773,12.1433333333333
1,45022,4,3.8595066773,11.8233333333333
1,45022,9,3.8595066773,11.8233333333333
1,45023,4,3.8595066773,11.8233333333333
1,45023,5,3.8595066773,11.8233333333333
1,45023,6,3.8595066773,11.8233333333333
1,45023,7,3.8595066773,11.8233333333333
1,45024,2,3.8595066773,11.6833333333333
1,45024,3,3.8595066773,11.6833333333333
1,45024,4,3.8595066773,11.6833333333333
1,45024,8,3.8595066773,11.6833333333333
1,45024,9,3.8595066773,11.6833333333333
1,45025,3,3.8595066773,11.4666666666667
1,45025,5,3.8595066773,11.4666666666667
1,45025,7,3.8595066773,11.4666666666667
1,45025,11,3.8595066773,11.4666666666667
1,45028,4,3.8595066773,11.1566666666667
1,45028,10,3.8595066773,11.1566666666667
1,45030,2,3.8595066773,11.1233333333333
1,45030,3,3.8595066773,11.1233333333333
1,45030,10,3.8595066773,11.1233333333333
1,45033,7,3.8595066773,11.2766666666667
1,45034,9,3.8595066773,11.2833333333333
1,45035,7,3.8595066773,11.1733333333333
1,45036,2,3.8595066773,11.1366666666667
1,45036,3,3.8595066773,11.1366666666667
1,45037,2,3.8595066773,11.1366666666667
1,45037,5,3.8595066773,11.1366666666667
1,45037,7,3.8595066773,11.1366666666667
1,45038,8,3.8595066773,11.1466666666667
1,45039,3,3.8595066773,10.9733333333333
1,45039,4,3.8595066773,10.9733333333333
1,45039,6,3.8595066773,10.9733333333333
1,45041,4,3.8595066773,10.98
1,45043,2,3.8595066773,10.8633333333333
1,45043,7,3.8595066773,10.8633333333333
1,45043,9,3.8595066773,10.78
1,45043,10,3.8595066773,10.78
1,45044,6,3.8595066773,10.78
1,45044,7,3.8595066773,10.78
1,45044,9,3.8595066773,10.78
1,45044,10,3.8595066773,10.78
1,45045,9,3.8595066773,11.02
1,45045,10,3.8595066773,11.02
1,45046,4,3.8595066773,10.96
1,45046,6,3.8595066773,10.96
1,45047,7,3.8595066773,10.96
1,45047,8,3.8595066773,10.96
1,45047,9,3.8595066773,10.96
1,45047,10,3.8595066773,10.96
1,45048,3,3.8595066773,10.8533333333333
1,45048,4,3.8595066773,10.8533333333333
1,45048,5,3.8595066773,10.8533333333333
1,45048,6,3.8595066773,10.8533333333333
1,45048,7,3.8595066773,10.8533333333333
1,45048,8,3.8595066773,10.8533333333333
1,45048,9,3.8595066773,10.8533333333333
1,45048,10,3.8595066773,10.8533333333333
1,45049,9,3.8595066773,11.2833333333333
1,45050,11,3.8595066773,11.2833333333333
1,45055,5,3.8595066773,11.4566666666667
1,45055,6,3.8595066773,11.4566666666667
1,45059,7,3.8595066773,11.7533333333333
1,45062,6,3.8595066773,11.6733333333333
1,45068,8,3.8595066773,12.2933333333333
1,45078,9,3.8595066773,12.2333333333333
1,45084,9,3.8595066773,11.9066666666667
1,45085,4,3.8595066773,11.5933333333333
1,45085,11,3.8595066773,11.5933333333333
1,45086,4,3.8595066773,11.47
1,45087,9,3.8595066773,11.47
1,45088,7,3.8595066773,11.45
1,45088,10,3.8595066773,11.45
1,45090,1,3.8595066773,11.24
1,45090,6,3.8595066773,11.2733333333333
1,45091,2,3.8595066773,11.0833333333333
1,45091,4,3.8595066773,11.0833333333333
1,45091,6,3.8595066773,11.0833333333333
1,45092,3,3.8595066773,11.1666666666667
1,45092,4,3.8595066773,11.1666666666667
1,45092,5,3.8595066773,11.1666666666667
1,45092,6,3.8595066773,11.1666666666667
1,45092,7,3.8595066773,11.1666666666667
1,45092,8,3.8595066773,11.1666666666667
1,45092,9,3.8595066773,11.1666666666667
1,45092,10,3.8595066773,11.1666666666667
1,46020,9,3.8595066773,12.1433333333333
1,46021,9,3.8595066773,12.0533333333333
1,46022,2,3.8595066773,11.8233333333333
1,46022,3,3.8595066773,11.8233333333333
1,46022,4,3.8595066773,11.8233333333333
1,46022,5,3.8595066773,11.8233333333333
1,46022,6,3.8595066773,11.8233333333333
1,46022,7,3.8595066773,11.8233333333333
1,46022,9,3.8595066773,11.8233333333333
1,46023,2,3.8595066773,11.8233333333333
1,46023,4,3.8595066773,11.8233333333333
1,46023,5,3.8595066773,11.8233333333333
1,46023,6,3.8595066773,11.8233333333333
1,46023,9,3.8595066773,11.6833333333333
1,46026,2,3.8595066773,11.2433333333333
1,46026,7,3.8595066773,11.2433333333333
1,46026,8,3.8595066773,11.2433333333333
1,46026,9,3.8595066773,11.2433333333333
1,46026,10,3.8595066773,11.2433333333333
1,46027,8,3.8595066773,11.2433333333333
1,46029,7,3.8595066773,11.1233333333333
1,46030,2,3.8595066773,11.1233333333333
1,46032,3,3.8595066773,11.2766666666667
1,46032,4,3.8595066773,11.2766666666667
1,46033,9,3.8595066773,11.2833333333333
1,46035,4,3.8595066773,11.1733333333333
1,46035,5,3.8595066773,11.1733333333333
1,46035,6,3.8595066773,11.1733333333333
1,46035,8,3.8595066773,11.1733333333333
1,46035,9,3.8595066773,11.1733333333333
1,46035,10,3.8595066773,11.1733333333333
1,46036,3,3.8595066773,11.1366666666667
1,46037,4,3.8595066773,11.1366666666667
1,46037,9,3.8595066773,11.1366666666667
1,46038,2,3.8595066773,11.1466666666667
1,46038,3,3.8595066773,11.1466666666667
1,46039,3,3.8595066773,10.9733333333333
1,46039,10,3.8595066773,10.9733333333333
1,46040,2,3.8595066773,10.9733333333333
1,46040,3,3.8595066773,10.9733333333333
1,46040,5,3.8595066773,10.9733333333333
1,46041,6,3.8595066773,10.98
1,46041,9,3.8595066773,10.98
1,46042,9,3.8595066773,10.8633333333333
1,46043,2,3.8595066773,10.8633333333333
1,46043,3,3.8595066773,10.8633333333333
1,46045,6,3.8595066773,11.02
1,46045,8,3.8595066773,11.02
1,46046,2,3.8595066773,10.96
1,46046,5,3.8595066773,10.96
1,46046,8,3.8595066773,10.96
1,46046,10,3.8595066773,10.96
1,46047,2,3.8595066773,10.96
1,46047,6,3.8595066773,10.96
