ALUE	YEAR	MONTH	meanT
1	1979	12	-5.957272727
1	1980	1	-10.41551136
1	1980	2	-10.41494318
1	1980	3	-7.232329545
1	1980	4	3.198806818
1	1980	5	6.854375
1	1980	6	16.80420455
1	1980	7	16.33267045
1	1980	8	13.91221591
1	1980	9	9.529602273
1	1980	10	3.795738636
1	1980	11	-5.111079545
1	1980	12	-5.930852273
1	1981	1	-6.119318182
1	1981	2	-8.700340909
1	1981	3	-8.238863636
1	1981	4	0.412272727
1	1981	5	10.37914773
1	1981	6	12.57227273
1	1981	7	16.71613636
1	1981	8	13.06403409
1	1981	9	8.881022727
1	1981	10	5.072727273
1	1981	11	-1.411534091
1	1981	12	-8.814772727
1	1982	1	-14.13659091
1	1982	2	-7.736193182
1	1982	3	-1.285511364
1	1982	4	1.659318182
1	1982	5	8.109545455
1	1982	6	10.48130682
1	1982	7	16.48261364
1	1982	8	14.68903409
1	1982	9	9.004545455
1	1982	10	3.103636364
1	1982	11	2.094715909
1	1982	12	-2.390227273
1	1983	1	-4.098920455
1	1983	2	-10.54653409
1	1983	3	-3.979090909
1	1983	4	4.097159091
1	1983	5	10.76926136
1	1983	6	13.23977273
1	1983	7	16.86210227
1	1983	8	13.95147727
1	1983	9	10.58971591
1	1983	10	4.435795455
1	1983	11	-4.432840909
1	1983	12	-5.405511364
1	1984	1	-7.259375
1	1984	2	-6.564886364
1	1984	3	-5.930625
1	1984	4	3.639431818
1	1984	5	12.55005682
1	1984	6	13.45710227
1	1984	7	15.246875
1	1984	8	13.59767045
1	1984	9	8.824545455
1	1984	10	5.664886364
1	1984	11	-0.580852273
1	1984	12	-4.19875
1	1985	1	-18.93204545
1	1985	2	-17.96710227
1	1985	3	-3.094261364
1	1985	4	-0.264545455
1	1985	5	7.784715909
1	1985	6	13.16210227
1	1985	7	15.34022727
1	1985	8	15.25193182
1	1985	9	8.936647727
1	1985	10	5.549545455
1	1985	11	-2.853522727
1	1985	12	-9.525965909
1	1986	1	-11.39920455
1	1986	2	-13.19198864
1	1986	3	-1.21375
1	1986	4	1.255795455
1	1986	5	9.893352273
1	1986	6	16.45369318
1	1986	7	16.48738636
1	1986	8	12.40465909
1	1986	9	6.037045455
1	1986	10	4.541704545
1	1986	11	2.356079545
1	1986	12	-10.99619318
1	1987	1	-20.35323864
1	1987	2	-9.585965909
1	1987	3	-7.190909091
1	1987	4	1.362897727
1	1987	5	7.318579545
1	1987	6	12.76568182
1	1987	7	14.53875
1	1987	8	11.18164773
1	1987	9	7.934545455
1	1987	10	6.08375
1	1987	11	-2.978352273
1	1987	12	-7.661193182
1	1988	1	-5.604943182
1	1988	2	-6.521818182
1	1988	3	-3.896022727
1	1988	4	0.209829545
1	1988	5	10.21028409
1	1988	6	16.03664773
1	1988	7	19.11596591
1	1988	8	13.67335227
1	1988	9	10.33795455
1	1988	10	3.669147727
1	1988	11	-5.290852273
1	1988	12	-8.548409091
1	1989	1	-2.0525
1	1989	2	-1.430625
1	1989	3	0.486193182
1	1989	4	4.367045455
1	1989	5	10.14176136
1	1989	6	15.65028409
1	1989	7	16.336875
1	1989	8	13.91409091
1	1989	9	10.52403409
1	1989	10	3.658863636
1	1989	11	-0.835795455
1	1989	12	-7.118068182
1	1990	1	-7.612556818
1	1990	2	0.174204545
1	1990	3	-0.672954545
1	1990	4	4.659090909
1	1990	5	8.663693182
1	1990	6	13.40329545
1	1990	7	15.24011364
1	1990	8	14.77943182
1	1990	9	7.543693182
1	1990	10	4.033125
1	1990	11	-3.611761364
1	1990	12	-2.545909091
1	1991	1	-6.120625
1	1991	2	-9.1375
1	1991	3	-2.657329545
1	1991	4	2.754886364
1	1991	5	6.792840909
1	1991	6	12.54886364
1	1991	7	16.56863636
1	1991	8	15.54505682
1	1991	9	8.460113636
1	1991	10	5.054886364
1	1991	11	1.974545455
1	1991	12	-3.033522727
1	1992	1	-4.035568182
1	1992	2	-3.725056818
1	1992	3	-0.12125
1	1992	4	-0.030795455
1	1992	5	10.48505682
1	1992	6	15.43477273
1	1992	7	15.07755682
1	1992	8	13.34028409
1	1992	9	11.10914773
1	1992	10	-1.670340909
1	1992	11	-4.002784091
1	1992	12	-0.777329545
1	1993	1	-3.960170455
1	1993	2	-4.615681818
1	1993	3	-1.732784091
1	1993	4	1.957840909
1	1993	5	11.74005682
1	1993	6	10.82056818
1	1993	7	15.44522727
1	1993	8	12.81340909
1	1993	9	5.219545455
1	1993	10	2.098011364
1	1993	11	-4.766022727
1	1993	12	-5.28125
1	1994	1	-7.072386364
1	1994	2	-15.02
1	1994	3	-4.018409091
1	1994	4	3.960625
1	1994	5	7.005738636
1	1994	6	12.56522727
1	1994	7	18.26096591
1	1994	8	14.54102273
1	1994	9	9.490227273
1	1994	10	3.414886364
1	1994	11	-2.308693182
1	1994	12	-2.168181818
1	1995	1	-4.707329545
1	1995	2	-2.519261364
1	1995	3	-0.819261364
1	1995	4	1.769829545
1	1995	5	8.111931818
1	1995	6	16.36732955
1	1995	7	14.78159091
1	1995	8	14.531875
1	1995	9	9.626534091
1	1995	10	6.683636364
