region year litter_type ground litter mortality
north 2011 fine_woody_litter below 0.107595241299937 logging
north 2012 fine_woody_litter below 0.105723688275459 logging
north 2013 fine_woody_litter below 0.113008885552389 logging
north 2014 fine_woody_litter below 0.112683145808499 logging
north 2015 fine_woody_litter below 0.111412532201962 logging
north 2016 fine_woody_litter below 0.108124536011805 logging
north 2017 fine_woody_litter below 0.112180267773313 logging
north 2018 fine_woody_litter below 0.125867392430556 logging
north 2019 fine_woody_litter below 0.124899091658448 logging
north 2020 fine_woody_litter below 0.120990308873848 logging
north 2021 fine_woody_litter below 0.130074069269086 logging
south 1990 fine_woody_litter above 0.104560221470807 logging
south 1991 fine_woody_litter above 0.0853778355800779 logging
south 1992 fine_woody_litter above 0.096623116165314 logging
south 1993 fine_woody_litter above 0.102149979787235 logging
south 1994 fine_woody_litter above 0.117357605371742 logging
south 1995 fine_woody_litter above 0.121824752882916 logging
south 1996 fine_woody_litter above 0.111633670540897 logging
south 1997 fine_woody_litter above 0.125414833888419 logging
south 1998 fine_woody_litter above 0.126217471749494 logging
south 1999 fine_woody_litter above 0.125906091506061 logging
south 2000 fine_woody_litter above 0.126129335886472 logging
south 2001 fine_woody_litter above 0.1173957853044 logging
south 2002 fine_woody_litter above 0.116106727464053 logging
south 2003 fine_woody_litter above 0.116303569858801 logging
south 2004 fine_woody_litter above 0.11282391528745 logging
south 2005 fine_woody_litter above 0.110154055489212 logging
south 2006 fine_woody_litter above 0.100278147267249 logging
south 2007 fine_woody_litter above 0.117202433643471 logging
south 2008 fine_woody_litter above 0.10374667197966 logging
south 2009 fine_woody_litter above 0.0876818170976664 logging
south 2010 fine_woody_litter above 0.107340634089532 logging
south 2011 fine_woody_litter above 0.106712592141578 logging
south 2012 fine_woody_litter above 0.105528167763994 logging
south 2013 fine_woody_litter above 0.121437009252097 logging
south 2014 fine_woody_litter above 0.125044630594637 logging
south 2015 fine_woody_litter above 0.132597092871972 logging
south 2016 fine_woody_litter above 0.141482675074575 logging
south 2017 fine_woody_litter above 0.142453244368224 logging
south 2018 fine_woody_litter above 0.153035217787278 logging
south 2019 fine_woody_litter above 0.144626479544898 logging
south 2020 fine_woody_litter above 0.133332398582897 logging
south 2021 fine_woody_litter above 0.150995213221971 logging
south 1990 fine_woody_litter below 0.177591258944461 logging
south 1991 fine_woody_litter below 0.145900376660075 logging
south 1992 fine_woody_litter below 0.163981673541357 logging
south 1993 fine_woody_litter below 0.173717061341853 logging
south 1994 fine_woody_litter below 0.196966000332004 logging
south 1995 fine_woody_litter below 0.205707478055376 logging
south 1996 fine_woody_litter below 0.187983467953778 logging
south 1997 fine_woody_litter below 0.210291073652337 logging
south 1998 fine_woody_litter below 0.219215501319229 logging
south 1999 fine_woody_litter below 0.22225961685439 logging
south 2000 fine_woody_litter below 0.227626065259011 logging
south 2001 fine_woody_litter below 0.218893751409961 logging
south 2002 fine_woody_litter below 0.222027171145533 logging
south 2003 fine_woody_litter below 0.222750943873917 logging
south 2004 fine_woody_litter below 0.220839939097468 logging
south 2005 fine_woody_litter below 0.213901341674 logging
south 2006 fine_woody_litter below 0.209573377604514 logging
south 2007 fine_woody_litter below 0.23257610864071 logging
south 2008 fine_woody_litter below 0.219759584677279 logging
south 2009 fine_woody_litter below 0.187168224719247 logging
south 2010 fine_woody_litter below 0.225550029395569 logging
