region year month mean_T sd_T cv
north 1960 1 -14.6681995323461 2.0676700395114 -14.0962770171745
south 1960 1 -10.7890340909091 1.45875225248885 -13.5206936987807
north 1960 2 -14.3829306313328 1.41089923329424 -9.80953930362871
south 1960 2 -10.7534090909091 1.62746809035882 -15.1344385450255
north 1960 3 -5.84263445050663 0.493860825005652 -8.45270792121572
south 1960 3 -4.69107954545455 0.482242929107354 -10.2799989732561
north 1960 4 0.519329696024942 0.61330835005353 118.096144847468
south 1960 4 1.58568181818182 0.367016443531799 23.1456550313876
north 1960 5 9.19072486360094 0.97371845689053 10.5945773738354
south 1960 5 10.4511931818182 0.531689089988536 5.0873530011244
north 1960 6 13.0579890880748 1.18049198205394 9.04038113442764
south 1960 6 15.3688068181818 0.562216383843103 3.6581654678487
north 1960 7 17.9431021044427 0.557844675025429 3.10896450222677
south 1960 7 17.8292613636364 0.625142639674351 3.50627334988402
north 1960 8 13.3062353858145 0.935189218472653 7.02820287900242
south 1960 8 14.6225568181818 0.431224768114833 2.94903807505569
north 1960 9 7.33031956352299 0.792127099913443 10.806174179025
south 1960 9 9.076875 0.872747262529317 9.61506314154725
north 1960 10 -3.53741231488698 1.65989309677893 -46.9239361720252
south 1960 10 1.05329545454545 1.51040373248775 143.397916127869
north 1960 11 -6.55175370226033 2.0528439149088 -31.3327394190746
south 1960 11 -2.37414772727273 1.2537910043765 -52.8101511954683
north 1960 12 -7.67365549493375 2.1207925320283 -27.6373174874539
south 1960 12 -2.80357954545455 1.57269326261475 -56.095903009585
north 1961 1 -9.07435697583788 1.57545683256737 -17.3616360560016
south 1961 1 -5.41960227272727 1.13886674610021 -21.0138436141571
north 1961 2 -7.09602494154326 2.28524223672255 -32.2045406484373
south 1961 2 -2.14909090909091 1.09328888358744 -50.8721561736963
north 1961 3 -5.1522992985191 1.38160997143139 -26.8154059262143
south 1961 3 -1.50397727272727 1.18913791540743 -79.0662157581064
north 1961 4 -3.06991426344505 1.28215846752936 -41.7652858516813
south 1961 4 0.783636363636364 1.28853534068833 164.430263892943
north 1961 5 4.71122369446609 1.41958618775386 30.1320056065547
south 1961 5 8.62784090909091 1.01514282201717 11.7658963895305
north 1961 6 14.5004676539361 0.852325313173049 5.87791603356799
south 1961 6 16.3052840909091 0.625768820119217 3.83782837901065
north 1961 7 15.8764614185503 0.685468248603948 4.31751276643445
south 1961 7 15.8773863636364 0.558952147069245 3.52042920835762
north 1961 8 12.1286827747467 0.721772213263149 5.9509530149965
south 1961 8 13.4656818181818 0.49148935506155 3.64994035725636
north 1961 9 6.90857365549493 0.715411846840879 10.3554204169461
south 1961 9 8.68392045454545 0.899236916367843 10.3551952263353
north 1961 10 6.21504286827747 1.00272626526858 16.1338591948681
south 1961 10 7.98164772727273 0.654679756538945 8.20231334317037
north 1961 11 -2.194621979735 1.45924693988379 -66.4919495639059
south 1961 11 0.823579545454545 1.02882046329139 124.920594369979
north 1961 12 -12.2289166017147 1.99029572236441 -16.2753233764415
south 1961 12 -7.01988636363636 1.47614804904203 -21.028090378907
north 1962 1 -12.0885424785659 2.1911005602039 -18.1254321113478
south 1962 1 -5.83840909090909 1.37510628985109 -23.5527567260103
north 1962 2 -10.1092751363991 1.31533604548056 -13.0111806013135
south 1962 2 -6.939375 1.28628160197497 -18.5359863384667
north 1962 3 -13.9712392829306 1.72905083606962 -12.3757871514096
south 1962 3 -9.56147727272727 1.12126283042872 -11.7268785821095
north 1962 4 0.940685892439595 1.17000879912376 124.378265744949
south 1962 4 3.39335227272727 0.488999059810053 14.4105009002511
north 1962 5 5.36032735775526 1.26789550796521 23.6533223317198
south 1962 5 7.88375 0.563053908944328 7.14195540122819
north 1962 6 9.75783320342946 0.805688035685494 8.25683344743308
south 1962 6 11.4175568181818 0.470739921917099 4.1229479249665
north 1962 7 11.7934528448948 0.967766379820247 8.20596302497771
south 1962 7 13.72875 0.574711164077085 4.18618711883518
north 1962 8 10.1367887763055 0.861837626804107 8.50207739179323
south 1962 8 11.8352272727273 0.591581988448599 4.99848439591711
north 1962 9 6.49025720966485 0.855681304817424 13.1840892768194
south 1962 9 8.545625 0.647989110803797 7.58270004597437
north 1962 10 1.92603273577553 1.75534630338101 91.1379267224245
south 1962 10 5.52022727272727 0.867576495863321 15.7163184231488
north 1962 11 -2.21839438815277 1.25102326056346 -56.3931854157443
south 1962 11 0.388181818181818 0.666417787368636 171.676713373653
north 1962 12 -13.803429462198 2.13437158240261 -15.4626180997106
south 1962 12 -9.00784090909091 1.77621385048898 -19.7185304271569
north 1963 1 -15.0377240841777 1.4726243870307 -9.79286744980347
south 1963 1 -11.7964772727273 1.93254908573726 -16.3824253720659
north 1963 2 -14.751831644583 1.39190415923045 -9.43546667807564
south 1963 2 -12.5278409090909 1.05064364675114 -8.3864702176153
north 1963 3 -12.9540140296181 1.48276811056005 -11.4463988318203
south 1963 3 -10.1938068181818 1.41287881502467 -13.8601686320428
north 1963 4 -0.0174590802805924 1.0147619152388 -5812.23007701511
south 1963 4 1.84380681818182 0.431934773831538 23.4262488657824
north 1963 5 10.8260327357755 0.734958639472757 6.78880858215055
south 1963 5 12.21625 0.696272561851021 5.69956051857993
north 1963 6 10.2168355416991 1.17029549193996 11.4545789365357
south 1963 6 12.9066477272727 0.834098568274767 6.46255004320179
north 1963 7 13.4009353078722 0.991130273032035 7.39597834227146
south 1963 7 15.7177272727273 0.699373108834989 4.44958165197656
north 1963 8 12.9148869836321 1.02744159890838 7.95548269381318
south 1963 8 15.2259659090909 0.667980996500169 4.38711737888064
north 1963 9 9.48183943881528 0.984674633229861 10.384848209926
south 1963 9 11.6375568181818 0.615272507334825 5.28695599039792
north 1963 10 1.88823070927514 1.17815275030446 62.3945339156535
south 1963 10 4.80073863636364 0.749958892097883 15.621739671834
north 1963 11 -5.11940763834762 1.773453656108 -34.6417746229798
south 1963 11 -1.26494318181818 0.898279257785517 -71.0134076136419
north 1963 12 -10.0559625876851 1.71623474201721 -17.0668369840493
south 1963 12 -6.1875 1.92167035191887 -31.0572986168707
north 1964 1 -6.64302416212003 1.41016619390182 -21.2277745720525
south 1964 1 -4.20130681818182 1.31152823346411 -31.2171495732772
north 1964 2 -13.4101325019486 1.45476469232747 -10.848249949179
south 1964 2 -10.7488068181818 1.17043295398879 -10.8889570143635
north 1964 3 -8.40810600155885 1.01512573769257 -12.0731795900809
south 1964 3 -6.273125 0.945537621809995 -15.0728324688253
north 1964 4 -1.68137178487919 1.31939355947659 -78.4712561101644
south 1964 4 1.68761363636364 0.748114923875356 44.3297510612291
north 1964 5 6.4369446609509 1.10297032767753 17.1349978254216
south 1964 5 8.64306818181818 0.525060126402487 6.07492750672752
north 1964 6 10.6313328137178 0.909886940263913 8.55854064779033
south 1964 6 13.1724431818182 0.866794259235912 6.58036058513686
north 1964 7 14.3426344505066 0.570175203358744 3.97538684630287
south 1964 7 15.6347727272727 0.572265929414534 3.66021265161274
north 1964 8 11.8876071706937 0.937439734522266 7.88585727187655
south 1964 8 13.4639204545455 0.510681220713182 3.79296076827886
north 1964 9 5.96001558846454 1.05547336523373 17.7092383328086
south 1964 9 8.75511363636364 0.830177682328856 9.48220339346348
north 1964 10 3.90280592361652 1.08575728214068 27.819914784145
south 1964 10 6.09607954545455 0.614299449797407 10.0769592197243
north 1964 11 -6.2099766173032 1.77773372779534 -28.6270599287274
south 1964 11 -2.48602272727273 1.73498204106728 -69.7894682149841
north 1964 12 -8.782151208106 2.02088187270333 -23.0112397841436
south 1964 12 -4.24215909090909 1.54837327674054 -36.4996513228062
north 1965 1 -10.1768511301637 2.11546981585251 -20.7870763637523
south 1965 1 -5.4475 1.32832632448958 -24.3841454702081
north 1965 2 -12.3925175370226 1.17358743330685 -9.4701292921375
south 1965 2 -9.41125 1.62232808278303 -17.2381785924615
north 1965 3 -8.66235385814497 1.9061219402981 -22.0046649157126
south 1965 3 -5.12647727272727 0.907816526923462 -17.7083887946412
north 1965 4 -0.617069368667186 1.2556630474104 -203.488150792919
south 1965 4 2.18477272727273 0.884646343128698 40.4914585432879
north 1965 5 2.88254091971941 1.41292477124782 49.016642281885
south 1965 5 5.72096590909091 0.742809517647684 12.9839878344201
north 1965 6 11.7035074045207 1.21281965941816 10.3628734318542
south 1965 6 14.134375 0.610897024722854 4.32206606038721
north 1965 7 12.3891660171473 1.0416817853815 8.4080057038525
south 1965 7 13.8653977272727 0.333945287644249 2.40847968599841
north 1965 8 11.1485580670304 1.00210575186865 8.98865795776926
south 1965 8 13.2327272727273 0.480107357883963 3.62818146243721
north 1965 9 8.35035074045206 1.25749774509271 15.0592206744197
south 1965 9 11.2998863636364 0.743415277447861 6.57896242072143
north 1965 10 0.891893998441154 1.50035245406365 168.22093843954
