region peat_type year emission_factor
north 1 1990 -0.460792146443065
north 2 1990 -0.784293183695493
north 4 1990 0.327627039758147
north 6 1990 0.344228202879731
north 7 1990 -0.438506086813415
north 1 1991 -0.423351367110554
north 2 1991 -0.749437947909002
north 4 1991 0.366884592323349
north 6 1991 0.379190795856232
north 7 1991 -0.407182464204855
north 1 1992 -0.424029837418941
north 2 1992 -0.753418516874323
north 4 1992 0.365884586453242
north 6 1992 0.373826116105202
north 7 1992 -0.4140070163671
north 1 1993 -0.364957751062308
north 2 1993 -0.696154470356417
north 4 1993 0.426624197764058
north 6 1993 0.43081649036564
north 7 1993 -0.359807654639606
north 1 1994 -0.354867494418085
north 2 1994 -0.687650405621743
north 4 1994 0.438127071392489
north 6 1994 0.438249083341966
north 7 1994 -0.354569204687742
north 1 1995 -0.371252831810055
north 2 1995 -0.706537476973599
north 4 1995 0.422358300931711
north 6 1995 0.418513191469707
north 7 1995 -0.376784778696343
north 1 1996 -0.370489956920503
north 2 1996 -0.706174583290474
north 4 1996 0.424472852728173
north 6 1996 0.416108814748948
north 7 1996 -0.376927625432224
north 1 1997 -0.359750136076585
north 2 1997 -0.696134449526762
north 4 1997 0.436356299203651
north 6 1997 0.423382522342649
north 7 1997 -0.369209320787148
north 1 1998 -0.390843812413513
north 2 1998 -0.727419238161282
north 4 1998 0.404672202850464
north 6 1998 0.38777511531888
north 7 1998 -0.399458340884554
north 1 1999 -0.39980344834641
north 2 1999 -0.739092920679722
north 4 1999 0.394002191016315
north 6 1999 0.37337528405268
north 7 1999 -0.41202351320183
north 1 2000 -0.407337310670197
north 2 2000 -0.748901942858482
north 4 2000 0.386680324364078
north 6 2000 0.362430604301651
north 7 2000 -0.425409996301355
north 1 2001 -0.438565841597523
north 2 2001 -0.782455445458127
north 4 2001 0.354867218058234
north 6 2001 0.326662796743898
north 7 2001 -0.462726899549201
north 1 2002 -0.427105285130211
north 2 2002 -0.772409119651537
north 4 2002 0.366737280916666
north 6 2002 0.334360844265589
north 7 2002 -0.457000796320321
north 1 2003 -0.450753414994646
north 2 2003 -0.796451966864373
north 4 2003 0.343242110383914
north 6 2003 0.30672365399704
north 7 2003 -0.483620092548126
north 1 2004 -0.451980949489411
north 2 2004 -0.786287514483015
north 4 2004 0.350658253108097
north 6 2004 0.310242233312292
north 7 2004 -0.473428744390818
north 1 2005 -0.486200879451179
north 2 2005 -0.808102356028086
