region year peat_type above_ground_litter_total ground_vegetation_litter total_above_ground_litter
north 1990 1 0.949474331185931 0.841087578503107 1.79056190968904
north 1990 2 0.717363983306503 0.861092488143915 1.57845647145042
north 1990 4 0.503331060246975 1.08200332227819 1.58533438252516
north 1990 6 0.309334907208996 1.36040664443592 1.66974155164492
north 1990 7 0.35345225997319 0.794924277468775 1.14837653744196
north 1991 1 0.953445936767912 0.836264953140249 1.78971088990816
north 1991 2 0.731660603507289 0.852975231373588 1.58463583488088
north 1991 4 0.514261864624505 1.07589562027483 1.59015748489933
north 1991 6 0.314482682905371 1.3572929127164 1.67177559562177
north 1991 7 0.331701695287327 0.801623032703042 1.13332472799037
north 1992 1 0.957417542349893 0.831442327777392 1.78885987012728
north 1992 2 0.745957223708075 0.84485797460326 1.59081519831134
north 1992 4 0.525192669002035 1.06978791827147 1.59498058727351
north 1992 6 0.319630458601749 1.35417918099688 1.67380963959863
north 1992 7 0.309951130601477 0.808321787937305 1.11827291853878
north 1993 1 0.961389147931871 0.826619702414544 1.78800885034641
north 1993 2 0.76025384390884 0.836740717832942 1.59699456174178
north 1993 4 0.536123473379552 1.06368021626812 1.59980368964767
north 1993 6 0.324778234298119 1.35106544927736 1.67584368357548
north 1993 7 0.288200565915614 0.815020543171573 1.10322110908719
north 1994 1 0.965360753513852 0.821797077051686 1.78715783056554
north 1994 2 0.774550464109628 0.828623461062613 1.60317392517224
north 1994 4 0.547054277757085 1.05757251426476 1.60462679202184
north 1994 6 0.329926009994496 1.34795171755784 1.67787772755233
north 1994 7 0.26645000122975 0.82171929840584 1.08816929963559
north 1995 1 0.969332359095833 0.816974451688829 1.78630681078466
north 1995 2 0.788847084310416 0.820506204292283 1.6093532886027
north 1995 4 0.557985082134618 1.0514648122614 1.60944989439602
north 1995 6 0.335073785690872 1.34483798583831 1.67991177152918
north 1995 7 0.244699436543887 0.828418053640107 1.07311749018399
north 1996 1 0.973303964677818 0.812151826325972 1.78545579100379
north 1996 2 0.803143704511203 0.812388947521956 1.61553265203316
north 1996 4 0.568915886512152 1.04535711025804 1.61427299677019
north 1996 6 0.340221561387251 1.34172425411879 1.68194581550604
north 1996 7 0.222948871858024 0.835116808874375 1.0580656807324
north 1997 1 0.977275570259799 0.807329200963116 1.78460477122292
north 1997 2 0.817440324711991 0.804271690751627 1.62171201546362
north 1997 4 0.579846690889684 1.03924940825468 1.61909609914437
north 1997 6 0.345369337083629 1.33861052239927 1.68397985948289
north 1997 7 0.201198307172161 0.841815564108642 1.0430138712808
north 1998 1 0.98124717584178 0.802506575600259 1.78375375144204
north 1998 2 0.831736944912778 0.796154433981297 1.62789137889408
north 1998 4 0.590777495267216 1.03314170625132 1.62391920151854
north 1998 6 0.350517112780006 1.33549679067974 1.68601390345975
north 1998 7 0.179447742486297 0.848514319342909 1.02796206182921
north 1999 1 0.985218781423765 0.797683950237402 1.78290273166117
north 1999 2 0.846033565113563 0.78803717721097 1.63407074232453
north 1999 4 0.601708299644748 1.02703400424797 1.62874230389271
north 1999 6 0.355664888476383 1.33238305896022 1.6880479474366
north 1999 7 0.157697177800434 0.855213074577176 1.01291025237761
north 2000 1 0.989190387005746 0.792861324874547 1.78205171188029
north 2000 2 0.86033018531435 0.779919920440641 1.64025010575499
north 2000 4 0.612639104022282 1.02092630224461 1.63356540626689
north 2000 6 0.360812664172761 1.3292693272407 1.69008199141346
north 2000 7 0.135946613114571 0.861911829811444 0.997858442926014
north 2001 1 0.993161992587727 0.788038699511689 1.78120069209942
north 2001 2 0.874626805515138 0.771802663670311 1.64642946918545
north 2001 4 0.623569908399815 1.01481860024125 1.63838850864106
north 2001 6 0.365960439869138 1.32615559552117 1.69211603539031
north 2001 7 0.114196048428707 0.868610585045711 0.982806633474418
north 2002 1 0.997133598169712 0.783216074148832 1.78034967231854
north 2002 2 0.888923425715926 0.763685406899984 1.65260883261591
north 2002 4 0.634500712777347 1.00871089823789 1.64321161101524
north 2002 6 0.371108215565516 1.32304186380165 1.69415007936716
north 2002 7 0.0924454837428441 0.875309340279978 0.967754824022822
north 2003 1 1.00456702721282 0.78031431115107 1.78488133836389
north 2003 2 0.896412382713809 0.761225974941339 1.65763835765515
north 2003 4 0.64633736233879 1.00376457328366 1.65010193562245
north 2003 6 0.391132317206367 1.31535221528166 1.70648453248803
north 2003 7 0.120827032770868 0.866280310783385 0.987107343554254
north 2004 1 1.01200045625593 0.777412548153307 1.78941300440924
north 2004 2 0.903901339711687 0.758766542982694 1.66266788269438
north 2004 4 0.658174011900231 0.998818248329435 1.65699226022967
north 2004 6 0.41115641884722 1.30766256676167 1.71881898560889
north 2004 7 0.149208581798893 0.857251281286792 1.00645986308568
north 2005 1 1.01943388529904 0.774510785155545 1.79394467045458
north 2005 2 0.91139029670957 0.756307111024049 1.66769740773362
north 2005 4 0.670010661461675 0.993871923375207 1.66388258483688
north 2005 6 0.431180520488074 1.29997291824168 1.73115343872975
north 2005 7 0.177590130826917 0.848222251790199 1.02581238261712
north 2006 1 1.02686731434215 0.771609022157784 1.79847633649993
north 2006 2 0.918879253707448 0.753847679065406 1.67272693277285
north 2006 4 0.681847311023118 0.988925598420981 1.6707729094441
north 2006 6 0.451204622128926 1.29228326972169 1.74348789185062
north 2006 7 0.205971679854941 0.839193222293607 1.04516490214855
north 2007 1 1.03430074338525 0.76870725916002 1.80300800254528
north 2007 2 0.92636821070533 0.751388247106761 1.67775645781209
north 2007 4 0.685301699631247 0.985260488130733 1.67056218776198
north 2007 6 0.452620501047571 1.28822926455388 1.74084976560145
north 2007 7 0.234353228882967 0.830164192797014 1.06451742167998
north 2008 1 1.04795017933318 0.763244467810891 1.81119464714407
north 2008 2 0.919495466064797 0.747258976940251 1.66675444300505
north 2008 4 0.688756088239376 0.981595377840487 1.67035146607986
north 2008 6 0.454036379966214 1.28417525938607 1.73821163935228
north 2008 7 0.253416644904655 0.823133644092276 1.07655028899693
north 2009 1 1.0615996152811 0.75778167646176 1.81938129174286
north 2009 2 0.91262272142426 0.743129706773738 1.655752428198
north 2009 4 0.692210476847506 0.977930267550238 1.67014074439774
north 2009 6 0.455452258884859 1.28012125421826 1.73557351310312
north 2009 7 0.272480060926345 0.816103095387538 1.08858315631388
north 2010 1 1.07524905122902 0.752318885112628 1.82756793634164
north 2010 2 0.905749976783726 0.739000436607228 1.64475041339095
north 2010 4 0.695664865455635 0.974265157259993 1.66993002271563
