year	ghgi_co2
1990	12.15730806
1991	12.30456314
1992	11.68303029
1993	11.22340683
1994	10.58957214
1995	10.14814087
1996	10.05046749
1997	9.42978608
1998	8.86433817
1999	8.61490295
2000	8.42311242
2001	8.30827445
2002	8.07655065
2003	7.98171051
2004	7.96906369
2005	8.03166655
2006	8.13043359
2007	7.81896069
2008	7.38016815
2009	7.65465846
2010	6.87983338
2011	6.59809849
2012	6.37852239
2013	5.82382758
2014	5.57111505
2015	5.18348965
2016	4.83373131
