region year sum_P avg_T ampli_T
1 1960 558.660128422242 3.04465368597762 14.4298042333914
1 1961 654.899925516972 4.47291788634603 11.7872062802702
1 1962 654.568709373613 2.36619561756012 11.7278483471414
1 1963 513.806499247112 2.50088502220141 14.1417367994493
1 1964 489.478053779868 3.08043908196505 13.1579827399882
1 1965 561.929645443716 2.41230779764252 11.8244490704551
1 1966 591.663783004608 1.30343431514435 17.0300398097083
1 1967 654.28332786187 3.23446726656289 14.7820526751625
1 1968 576.881806040693 2.00006592881267 16.6980780605402
1 1969 496.045940895929 1.93286795947765 14.4727141667892
1 1970 564.673270981919 2.41137425512083 15.6906987956282
1 1971 558.59219578793 2.54987532416054 12.4178405185262
1 1972 562.882343149368 4.05672302976339 14.6606476382174
1 1973 575.315195503706 3.0568287382282 14.6308496752333
1 1974 783.788227948685 4.50420112168387 10.695678077994
1 1975 527.512295192261 4.52583446839412 10.5784960517794
1 1976 473.691247621958 1.48267675758051 14.0104347703711
1 1977 646.424972632835 2.56847629631218 12.5635234153937
1 1978 469.297586900198 1.43243638761856 15.2049402605384
1 1979 636.749511863008 2.80348795873293 13.5441233804917
1 1980 600.954088409744 2.35987575025546 13.8322108740636
1 1981 761.040283520579 2.52418727267999 13.0779606562684
1 1982 566.014478395773 3.06274306259966 15.4392448070911
1 1983 687.584816734835 3.49397697343589 13.6810823231091
1 1984 637.811162233435 3.80161692295569 11.5347634184866
1 1985 598.986357501813 0.856808811410482 17.3294508520143
1 1986 646.720392054363 2.44290057346694 14.9577879302458
1 1987 637.204177555665 0.886394449679122 17.4428689949009
1 1988 703.809358539595 3.33915609091748 13.8573920200702
1 1989 608.24535403394 5.03357176500139 11.7664793781614
1 1990 613.737790217099 4.21466900057596 11.5996135717174
1 1991 671.080847385077 3.79156562515411 12.9292211730606
1 1992 689.941078941543 3.97037979842394 9.99989326764921
1 1993 589.837120780579 3.05785860608349 10.5445547121098
1 1994 624.747798880144 2.95210156599875 16.5420082885697
1 1995 620.187184110521 3.87640758500457 13.2341811778512
1 1996 609.030433448611 2.81694731302175 14.4542722084577
1 1997 578.326822723295 3.57122074929493 12.7340803932863
1 1998 718.977398842253 2.84508340892161 12.3000094117192
1 1999 597.108438634972 3.80280766969552 13.6910334197571
1 2000 680.536014189286 4.92800405703984 10.7836785850569
1 2001 637.610212802651 3.36593098737337 14.5833502096107
1 2002 536.54505631562 3.62156077727137 14.5607727254061
1 2003 602.85640094278 3.63300595528078 16.5272197575528
1 2004 700.575794384015 3.83545609790121 12.4689133765252
1 2005 638.687865043409 4.43490070532119 12.7714335799995
1 2006 586.911211346749 4.33790462443278 14.2160242022083
1 2007 700.170020075542 4.4320430265495 14.8764082526464
1 2008 775.705822125796 4.82181863998785 9.17868034755385
1 2009 524.89084996903 3.65423078137112 11.9193836157934
1 2010 589.439958601533 2.37167319239843 17.5747298381526
1 2011 706.071389308644 4.81337947720305 16.4979306067071
1 2012 809.02762878439 3.19456479889785 13.8041177616157
1 2013 645.907063260742 4.83634823848268 12.7054289593578
1 2014 588.263242615272 5.11680124175832 14.2787707590231
1 2015 700.55649154714 5.41584964923481 10.5066892246082
1 2016 638.725442455013 4.33562830983224 15.1356158615131
2 1960 481.516942574454 1.54709383873581 15.9709475330947
2 1961 653.731373855403 2.6519732452759 13.5350066872629
2 1962 609.082401105727 0.443222534672936 12.8248069349103
2 1963 508.750473172579 0.878363572799357 14.2906032386704
2 1964 541.036139257723 1.4830477827771 13.5508456560444
2 1965 575.350561938648 0.430637599416877 12.7578951815196
2 1966 553.22065770343 -0.859760541438607 18.0752016164236
2 1967 620.193065175903 1.51689164244762 16.2594234819867
2 1968 528.264293659934 -0.168901497515825 16.6510412758604
2 1969 423.230543810677 0.0498628051286964 15.3564542985131
2 1970 535.000255376477 0.759787007100599 16.4577923417925
2 1971 556.971783377599 0.0733161171363647 13.4464486514955
2 1972 566.33298507945 2.44971298679742 14.6055619293833
2 1973 529.135307631332 1.00537478534202 16.3373096844006
2 1974 711.644818371053 2.95871529110446 12.0002476575585
2 1975 545.527169536919 2.26309498292347 11.4182864809546
2 1976 462.864914933033 -0.233117924236331 15.0069460419304
2 1977 583.710863784187 0.640361186196199 13.3759744111523
2 1978 430.577372085967 -0.470846925377696 16.5485922973364
2 1979 614.688894380513 1.03344235919994 14.8279291169123
2 1980 481.280662147502 0.319415104279458 14.7711669801381
2 1981 701.393885761563 0.291005087464934 14.6693607937281
2 1982 545.501069627294 1.21873471652253 16.8707118974082
2 1983 684.01689291571 1.3718720849089 14.1585316169098
2 1984 570.130830902937 2.03716929810017 12.7635254898311
2 1985 556.152557544461 -1.18693068004729 18.9411755942555
2 1986 580.30841292356 0.570825924989901 16.073766924652
2 1987 560.126360333271 -0.73440976570882 17.05567132756
2 1988 574.615330477888 1.34291921748506 15.1520207884821
2 1989 644.055951165 3.18834113487707 12.5454047998415
2 1990 498.952541948374 2.25690283796007 13.8573605283935
2 1991 639.583490115729 1.67626090277471 14.0035499719027
2 1992 710.836057833281 2.00327859933869 10.8780677557448
2 1993 567.87394711092 1.23703485128113 11.788178538139
2 1994 534.486283051643 1.21674887028382 16.08406438144
2 1995 580.077583381839 1.8387754307305 13.9546958539407
2 1996 543.793316662358 1.34636181776234 14.4867732829914
2 1997 568.471396145447 1.54181700482343 13.9724987858811
2 1998 750.428682213847 0.635726491365202 14.899575786604
2 1999 583.002725886825 1.73243158724105 14.9335199161191
2 2000 699.711878559748 3.14294980253283 12.3542008522368
2 2001 574.476456965332 1.39315488275419 14.7187910128936
