region year litter_type ground litter mortality
north 2017 fine_woody_litter below 0.107491386304199 logging
north 2018 fine_woody_litter below 0.120558020723055 logging
north 2019 fine_woody_litter below 0.121532051413118 logging
south 1990 fine_woody_litter above 0.10630254423051 logging
south 1991 fine_woody_litter above 0.0871187246459927 logging
south 1992 fine_woody_litter above 0.0983594206828969 logging
south 1993 fine_woody_litter above 0.103882435939842 logging
south 1994 fine_woody_litter above 0.119085238401849 logging
south 1995 fine_woody_litter above 0.123548865359004 logging
south 1996 fine_woody_litter above 0.113356025044454 logging
south 1997 fine_woody_litter above 0.127376764012244 logging
south 1998 fine_woody_litter above 0.12842003295578 logging
south 1999 fine_woody_litter above 0.128364492295488 logging
south 2000 fine_woody_litter above 0.128838191224675 logging
south 2001 fine_woody_litter above 0.120362287419289 logging
south 2002 fine_woody_litter above 0.119079864156768 logging
south 2003 fine_woody_litter above 0.119283353127008 logging
south 2004 fine_woody_litter above 0.115807204826337 logging
south 2005 fine_woody_litter above 0.113141107664945 logging
south 2006 fine_woody_litter above 0.103111336419895 logging
south 2007 fine_woody_litter above 0.120039090337471 logging
south 2008 fine_woody_litter above 0.106757851047722 logging
south 2009 fine_woody_litter above 0.0948291506639654 logging
south 2010 fine_woody_litter above 0.116098719259626 logging
south 2011 fine_woody_litter above 0.11555081941402 logging
south 2012 fine_woody_litter above 0.114558032881376 logging
south 2013 fine_woody_litter above 0.130943819161576 logging
south 2014 fine_woody_litter above 0.135348215893569 logging
south 2015 fine_woody_litter above 0.143790538428426 logging
south 2016 fine_woody_litter above 0.153110961213141 logging
south 2017 fine_woody_litter above 0.153879964972134 logging
south 2018 fine_woody_litter above 0.165633003041849 logging
south 2019 fine_woody_litter above 0.151346196129408 logging
south 1990 fine_woody_litter below 0.180636204040514 logging
south 1991 fine_woody_litter below 0.148942631141615 logging
south 1992 fine_woody_litter below 0.167016095386593 logging
south 1993 fine_woody_litter below 0.17674475790938 logging
south 1994 fine_woody_litter below 0.199985650827317 logging
south 1995 fine_woody_litter below 0.208720883172959 logging
south 1996 fine_woody_litter below 0.190993806327463 logging
south 1997 fine_woody_litter below 0.213720249026361 logging
south 1998 fine_woody_litter below 0.223064254991276 logging
south 1999 fine_woody_litter below 0.226555035019791 logging
south 2000 fine_woody_litter below 0.232358828856666 logging
south 2001 fine_woody_litter below 0.224076624475867 logging
south 2002 fine_woody_litter below 0.227221914302742 logging
south 2003 fine_woody_litter below 0.227957758736557 logging
south 2004 fine_woody_litter below 0.22605283987438 logging
south 2005 fine_woody_litter below 0.219120851927418 logging
south 2006 fine_woody_litter below 0.214536854415687 logging
south 2007 fine_woody_litter below 0.237545544864121 logging
south 2008 fine_woody_litter below 0.225033936008698 logging
south 2009 fine_woody_litter below 0.204284799851914 logging
south 2010 fine_woody_litter below 0.244957264713417 logging
south 2011 fine_woody_litter below 0.248137365522285 logging
south 2012 fine_woody_litter below 0.245466633157205 logging
south 2013 fine_woody_litter below 0.272157605582156 logging
south 2014 fine_woody_litter below 0.275247127371795 logging
south 2015 fine_woody_litter below 0.294264379528222 logging
south 2016 fine_woody_litter below 0.306379106234099 logging
south 2017 fine_woody_litter below 0.316232529511387 logging
south 2018 fine_woody_litter below 0.339581994070316 logging
south 2019 fine_woody_litter below 0.316977733058822 logging
north 1990 non-woody_litter above 0.0290054897288983 logging
north 1991 non-woody_litter above 0.0218628353413454 logging
north 1992 non-woody_litter above 0.0245890395135073 logging
north 1993 non-woody_litter above 0.0251710160516253 logging
north 1994 non-woody_litter above 0.0274836495238051 logging
north 1995 non-woody_litter above 0.027257051106343 logging
north 1996 non-woody_litter above 0.0233229755198091 logging
north 1997 non-woody_litter above 0.0251245589336187 logging
north 1998 non-woody_litter above 0.026292403725721 logging
north 1999 non-woody_litter above 0.0260440173664106 logging
north 2000 non-woody_litter above 0.0268633744947261 logging
north 2001 non-woody_litter above 0.0275407732754247 logging
north 2002 non-woody_litter above 0.0269852327392138 logging
north 2003 non-woody_litter above 0.0286343495738595 logging
north 2004 non-woody_litter above 0.0298482737281497 logging
north 2005 non-woody_litter above 0.0297530905828824 logging
north 2006 non-woody_litter above 0.0271383910643793 logging
north 2007 non-woody_litter above 0.0314682044604284 logging
north 2008 non-woody_litter above 0.0318543635081825 logging
north 2009 non-woody_litter above 0.0234744843692068 logging
north 2010 non-woody_litter above 0.0293356625692971 logging
north 2011 non-woody_litter above 0.0307681047776219 logging
north 2012 non-woody_litter above 0.0300101110576918 logging
north 2013 non-woody_litter above 0.0322193346399056 logging
north 2014 non-woody_litter above 0.0323028162915306 logging
north 2015 non-woody_litter above 0.0319727064748355 logging
north 2016 non-woody_litter above 0.0309715181298601 logging
north 2017 non-woody_litter above 0.0324238463575956 logging
north 2018 non-woody_litter above 0.0365602132793541 logging
north 2019 non-woody_litter above 0.0367024012206879 logging
north 1990 non-woody_litter below 0.0165362309947445 logging
north 1991 non-woody_litter below 0.0123978827394953 logging
north 1992 non-woody_litter below 0.0140758798490621 logging
north 1993 non-woody_litter below 0.0148293836026689 logging
north 1994 non-woody_litter below 0.0166220700210534 logging
north 1995 non-woody_litter below 0.0165717257710998 logging
north 1996 non-woody_litter below 0.0151859146512699 logging
north 1997 non-woody_litter below 0.0161402311222984 logging
north 1998 non-woody_litter below 0.0172210271556136 logging
north 1999 non-woody_litter below 0.017006114915819 logging
north 2000 non-woody_litter below 0.0172107226639946 logging
north 2001 non-woody_litter below 0.0171734598625447 logging
north 2002 non-woody_litter below 0.0166440835766321 logging
north 2003 non-woody_litter below 0.0175864479460134 logging
north 2004 non-woody_litter below 0.018292907105481 logging
north 2005 non-woody_litter below 0.0180026439411814 logging
north 2006 non-woody_litter below 0.0163970466893203 logging
north 2007 non-woody_litter below 0.0195673179865448 logging
north 2008 non-woody_litter below 0.0195621320621064 logging
north 2009 non-woody_litter below 0.0197132839609436 logging
north 2010 non-woody_litter below 0.0252340731558289 logging
north 2011 non-woody_litter below 0.026298641671315 logging
north 2012 non-woody_litter below 0.0254047388182893 logging
north 2013 non-woody_litter below 0.0274025435125648 logging
north 2014 non-woody_litter below 0.0274736676287523 logging
north 2015 non-woody_litter below 0.0276053673144013 logging
north 2016 non-woody_litter below 0.0275766481282319 logging
north 2017 non-woody_litter below 0.0283874312171421 logging
north 2018 non-woody_litter below 0.0319245901703507 logging
north 2019 non-woody_litter below 0.0316746763073258 logging
south 1990 non-woody_litter above 0.0529097084042754 logging
south 1991 non-woody_litter above 0.0433862799005418 logging
south 1992 non-woody_litter above 0.04899973936413 logging
south 1993 non-woody_litter above 0.051919535715209 logging
south 1994 non-woody_litter above 0.0607683272542716 logging
south 1995 non-woody_litter above 0.0624121252462435 logging
south 1996 non-woody_litter above 0.0574387791204666 logging
south 1997 non-woody_litter above 0.0651510328829666 logging
south 1998 non-woody_litter above 0.0664123119962644 logging
south 1999 non-woody_litter above 0.0672608974980628 logging
south 2000 non-woody_litter above 0.0681266419315316 logging
south 2001 non-woody_litter above 0.0647881594833499 logging
south 2002 non-woody_litter above 0.0659018112064676 logging
south 2003 non-woody_litter above 0.0657037510315467 logging
south 2004 non-woody_litter above 0.0654925635159045 logging
south 2005 non-woody_litter above 0.0626464418330072 logging
south 2006 non-woody_litter above 0.0607538013777686 logging
south 2007 non-woody_litter above 0.0674001772556748 logging
south 2008 non-woody_litter above 0.0592892896905351 logging
south 2009 non-woody_litter above 0.0533221271246985 logging
south 2010 non-woody_litter above 0.0655396212402595 logging
south 2011 non-woody_litter above 0.0661816255770826 logging
south 2012 non-woody_litter above 0.0658324674830153 logging
south 2013 non-woody_litter above 0.0727784269375142 logging
south 2014 non-woody_litter above 0.0736000355345432 logging
south 2015 non-woody_litter above 0.0780550900709756 logging
south 2016 non-woody_litter above 0.082483560216479 logging
south 2017 non-woody_litter above 0.0849247083706243 logging
south 2018 non-woody_litter above 0.0912097165511405 logging
south 2019 non-woody_litter above 0.0836082622729803 logging
south 1990 non-woody_litter below 0.029957942168674 logging
south 1991 non-woody_litter below 0.0239969208195314 logging
south 1992 non-woody_litter below 0.0277529803303966 logging
south 1993 non-woody_litter below 0.0289556320884704 logging
south 1994 non-woody_litter below 0.0336287197098806 logging
south 1995 non-woody_litter below 0.034722270249887 logging
south 1996 non-woody_litter below 0.0320005118804728 logging
south 1997 non-woody_litter below 0.0359473664352042 logging
south 1998 non-woody_litter below 0.0371033571773877 logging
south 1999 non-woody_litter below 0.0370238754642659 logging
south 2000 non-woody_litter below 0.0374387392657224 logging
south 2001 non-woody_litter below 0.0357112125674293 logging
south 2002 non-woody_litter below 0.0365441514358607 logging
south 2003 non-woody_litter below 0.0367305409866802 logging
south 2004 non-woody_litter below 0.0363150048237712 logging
south 2005 non-woody_litter below 0.034482962471497 logging
south 2006 non-woody_litter below 0.034171276473575 logging
south 2007 non-woody_litter below 0.0382916418186441 logging
south 2008 non-woody_litter below 0.0341713211407258 logging
south 2009 non-woody_litter below 0.0340669926749941 logging
south 2010 non-woody_litter below 0.0429378626695343 logging
south 2011 non-woody_litter below 0.0434564058229432 logging
south 2012 non-woody_litter below 0.0438568477628733 logging
south 2013 non-woody_litter below 0.0474965913195286 logging
south 2014 non-woody_litter below 0.0485501419711757 logging
south 2015 non-woody_litter below 0.0514367099483798 logging
south 2016 non-woody_litter below 0.0531422648528418 logging
south 2017 non-woody_litter below 0.055167090748395 logging
south 2018 non-woody_litter below 0.0591306135667088 logging
south 2019 non-woody_litter below 0.0545514761843224 logging
north 1990 coarse_woody_litter above 0.0261686960675473 natural
north 1991 coarse_woody_litter above 0.0261696446363097 natural
north 1992 coarse_woody_litter above 0.0261711624893752 natural
north 1993 coarse_woody_litter above 0.0261747522799344 natural
north 1994 coarse_woody_litter above 0.0261786436495948 natural
north 1995 coarse_woody_litter above 0.0261839843019681 natural
north 1996 coarse_woody_litter above 0.0261884642178344 natural
north 1997 coarse_woody_litter above 0.0298830830593771 natural
north 1998 coarse_woody_litter above 0.033575428576595 natural
north 1999 coarse_woody_litter above 0.0373648803619109 natural
north 2000 coarse_woody_litter above 0.0410627522692479 natural
north 2001 coarse_woody_litter above 0.0448626872111446 natural
north 2002 coarse_woody_litter above 0.0448850040772411 natural
north 2003 coarse_woody_litter above 0.0449071527121703 natural
north 2004 coarse_woody_litter above 0.0449290645024983 natural
north 2005 coarse_woody_litter above 0.0449540509568216 natural
north 2006 coarse_woody_litter above 0.0449741802042528 natural
north 2007 coarse_woody_litter above 0.044983296115424 natural
north 2008 coarse_woody_litter above 0.0476487349886321 natural
north 2009 coarse_woody_litter above 0.0504061698472612 natural
north 2010 coarse_woody_litter above 0.0531477736005104 natural
north 2011 coarse_woody_litter above 0.0531336334643508 natural
north 2012 coarse_woody_litter above 0.0531177770892043 natural
north 2013 coarse_woody_litter above 0.0531094015254374 natural
north 2014 coarse_woody_litter above 0.0531035080007033 natural
north 2015 coarse_woody_litter above 0.05309653729555 natural
north 2016 coarse_woody_litter above 0.053088458075547 natural
north 2017 coarse_woody_litter above 0.0530816682825722 natural
north 2018 coarse_woody_litter above 0.0530734649260299 natural
north 2019 coarse_woody_litter above 0.0530649747101719 natural
south 1990 coarse_woody_litter above 0.0252487770654355 natural
south 1991 coarse_woody_litter above 0.0252399052357223 natural
south 1992 coarse_woody_litter above 0.0252338345972093 natural
south 1993 coarse_woody_litter above 0.0252301113132197 natural
south 1994 coarse_woody_litter above 0.0252280634969069 natural
south 1995 coarse_woody_litter above 0.0252276903325486 natural
south 1996 coarse_woody_litter above 0.0252291160712465 natural
south 1997 coarse_woody_litter above 0.028784177657511 natural
south 1998 coarse_woody_litter above 0.0323444708404663 natural
south 1999 coarse_woody_litter above 0.0359994903995361 natural
south 2000 coarse_woody_litter above 0.0395716227592992 natural
south 2001 coarse_woody_litter above 0.043236934514778 natural
south 2002 coarse_woody_litter above 0.0432555018793182 natural
south 2003 coarse_woody_litter above 0.0432776721354383 natural
south 2004 coarse_woody_litter above 0.0433015618211424 natural
south 2005 coarse_woody_litter above 0.043325345963833 natural
south 2006 coarse_woody_litter above 0.0433480666415925 natural
south 2007 coarse_woody_litter above 0.0433746786169734 natural
south 2008 coarse_woody_litter above 0.0459538649743901 natural
south 2009 coarse_woody_litter above 0.048640983081316 natural
south 2010 coarse_woody_litter above 0.0513070685513542 natural
south 2011 coarse_woody_litter above 0.0513120021360498 natural
south 2012 coarse_woody_litter above 0.0513232237001588 natural
south 2013 coarse_woody_litter above 0.0513508578831048 natural
south 2014 coarse_woody_litter above 0.0513549957712004 natural
south 2015 coarse_woody_litter above 0.0513587420175052 natural
south 2016 coarse_woody_litter above 0.0513624495741467 natural
south 2017 coarse_woody_litter above 0.0513630577430034 natural
south 2018 coarse_woody_litter above 0.051354917321623 natural
south 2019 coarse_woody_litter above 0.0513566236540182 natural
north 1990 fine_woody_litter above 0.00536135238864686 natural
north 1991 fine_woody_litter above 0.00536154672815033 natural
north 1992 fine_woody_litter above 0.00536185770066256 natural
north 1993 fine_woody_litter above 0.00536259316459779 natural
north 1994 fine_woody_litter above 0.00536339041502135 natural
north 1995 fine_woody_litter above 0.00536448458949929 natural
north 1996 fine_woody_litter above 0.00536540241924399 natural
north 1997 fine_woody_litter above 0.00612234321217138 natural
north 1998 fine_woody_litter above 0.0068788182542349 natural
north 1999 fine_woody_litter above 0.00765518809430733 natural
north 2000 fine_woody_litter above 0.00841279536415895 natural
north 2001 fine_woody_litter above 0.00919131295727301 natural
north 2002 fine_woody_litter above 0.00919588515999356 natural
north 2003 fine_woody_litter above 0.00920042289609157 natural
north 2004 fine_woody_litter above 0.00920491210828278 natural
