"","V1","V2","V3","V4"
"1",0.00244961256162362,6.37939931282678e-05,1.02548644832103e-05,0.0010192626590559
"2",0.00244961256162362,6.37939931282678e-05,1.02548644832103e-05,0.0010192626590559
"3",0.00249398522012422,6.49495673263335e-05,1.04406226748575e-05,0.00103772573954513
"4",0.00253999508148333,6.61477783517662e-05,1.06332347231956e-05,0.00105687004602297
"5",0.00258773445971418,6.7391030290672e-05,1.08330870843157e-05,0.00107673398955411
"6",0.0026373027419623,6.8681911431084e-05,1.10405958247114e-05,0.00109735892427258
"7",0.00268880707916761,7.00232122495178e-05,1.12562095126115e-05,0.00111878943476033
"8",0.00274236315926677,7.141794554708e-05,1.14804124548535e-05,0.00114107365776999
"9",0.0027980960746781,7.28693690409292e-05,1.17137283284537e-05,0.0011642636431779
"10",0.00279819750069199,7.28720104261566e-05,1.17141529303046e-05,0.00116430584566749
"11",0.00279835979760939,7.28762370408448e-05,1.17148323572964e-05,0.00116437337601501
"12",0.00279874363709634,7.28862331741013e-05,1.17164392325973e-05,0.00116453308831493
"13",0.00279915972302373,7.28970690847301e-05,1.17181811018486e-05,0.00116470621808059
"14",0.00279973077396197,7.29119406689964e-05,1.17205717043775e-05,0.00116494382745069
"15",0.00280020979037792,7.29244154457942e-05,1.1722577020854e-05,0.00116514314204986
"16",0.00280090660323839,7.29425621827634e-05,1.17254941031576e-05,0.00116543307987111
"17",0.00560252129173046,0.000145903564663603,2.34539524784752e-05,0.00233116078790907
"18",0.00560346681375225,0.000145928188404641,2.34579107371612e-05,0.00233155421146724
"19",0.00560465170840253,0.000145959046003252,2.34628710865062e-05,0.00233204723591154
"20",0.00560656996018055,0.000146009002042285,2.34709015041879e-05,0.00233284540393151
"21",0.00560935893870234,0.000146081633967611,2.34825770635134e-05,0.00233400587383957
"22",0.00609821662397171,0.000158812701852936,2.55290922523032e-05,0.00253741534029711
"23",0.00610119215984893,0.000158890192194992,2.55415488006015e-05,0.00253865343511172
"24",0.00610458522313453,0.00015897855598742,2.55557532526531e-05,0.00254006525947978
"25",0.00610731869662148,0.000159049742423828,2.55671964500862e-05,0.00254120263422158
"26",0.00610855660189246,0.000159081980550619,2.55723787189053e-05,0.00254171771592793
"27",0.0104925871930636,0.00027325302204051,4.39253380019482e-05,0.00436587503278043
"28",0.0104935903520116,0.000273279146790209,4.39295375473078e-05,0.00436629243856645
"29",0.0104913645539259,0.000273221181481734,4.39202196420633e-05,0.00436536630318047
"30",0.0104885732926323,0.000273148490107361,4.39085345263222e-05,0.00436420488343074
"31",0.0104854400659635,0.000273066893105569,4.38954178337532e-05,0.00436290117483782
"32",0.0104835737437623,0.000273018289441651,4.38876048099492e-05,0.0043621246142669
"33",0.0104811170618722,0.000272954311345657,4.38773203509877e-05,0.00436110241012123
"34",0.0104778644457659,0.000272869605146485,4.38637038559104e-05,0.0043597490246131
"35",0.0123754911368867,0.000322288515708056,5.18077783034501e-05,0.00514933512381452
"36",0.012372031360934,0.00032219841455214,5.17932945707601e-05,0.0051478955408811
"37",0.012367805788139,0.000322088370145088,5.1775604966675e-05,0.00514613731648652
