"","Alue","Vuodet","meanT"
"1",1,1960,11.4003314391667
"2",2,1960,9.21764706066667
"3",1,1961,11.8236268935
"4",2,1961,9.67917984483333
"5",1,1962,9.8218560605
"6",2,1962,7.13478810933333
"7",1,1963,12.0841477276667
"8",2,1963,9.38849884033333
"9",1,1964,10.9608996205
"10",2,1964,8.4593295385
"11",1,1965,10.4279734841667
"12",2,1965,7.3745730545
"13",1,1966,10.9119412881667
"14",2,1966,7.59263124516667
"15",1,1967,11.6923674245
"16",2,1967,8.80868648483333
"17",1,1968,10.0258617413333
"18",2,1968,5.98055028583333
"19",1,1969,11.0249999988333
"20",2,1969,8.04220957183333
"21",1,1970,11.2286079548333
"22",2,1970,9.07913767616667
"23",1,1971,10.45529356
"24",2,1971,7.38954248266667
"25",1,1972,11.9976515148333
"26",2,1972,9.27019818766667
"27",1,1973,10.777026515
"28",2,1973,7.8006746785
"29",1,1974,10.9502651501667
"30",2,1974,9.03681214383333
"31",1,1975,11.4815719696667
"32",2,1975,7.9297491055
"33",1,1976,9.39760416566667
"34",2,1976,6.99362218066667
"35",1,1977,10.0968181826667
"36",2,1977,7.02875817033333
"37",1,1978,10.2169602275
"38",2,1978,7.6014547745
"39",1,1979,11.0750094713333
"40",2,1979,8.34127134616667
"41",1,1980,11.2048011365
"42",2,1980,8.569238879
"43",1,1981,11.114223485
"44",2,1981,7.959550917
"45",1,1982,10.311780304
"46",2,1982,7.3464473955
"47",1,1983,11.6413541658333
"48",2,1983,8.59829222116667
"49",1,1984,11.5568560598333
"50",2,1984,8.53811933383333
"51",1,1985,11.0041950751667
"52",2,1985,8.2814252575
"53",1,1986,10.9696401505
"54",2,1986,8.25374235766667
"55",1,1987,9.970492425
"56",2,1987,8.00831752183333
"57",1,1988,12.1738920461667
"58",2,1988,9.34199873516667
"59",1,1989,11.704318181
"60",2,1989,8.92609108183333
"61",1,1990,10.6105587123333
"62",2,1990,8.08178368216667
"63",1,1991,10.8283996215
"64",2,1991,7.9094771225
"65",1,1992,10.6294128801667
"66",2,1992,7.3830592455
"67",1,1993,9.6894696965
"68",2,1993,6.7267341345
"69",1,1994,10.8796780305
"70",2,1994,8.0284419155
"71",1,1995,11.6838162888333
"72",2,1995,8.2164979985
"73",1,1996,10.7344696976667
"74",2,1996,8.00497575383333
"75",1,1997,11.452594697
"76",2,1997,8.74500316183333
"77",1,1998,10.8131344688333
"78",2,1998,7.988425048
"79",1,1999,11.8238257561667
"80",2,1999,8.79060721083333
"81",1,2000,11.5562026528333
"82",2,2000,9.43520978383333
"83",1,2001,11.9737405291667
"84",2,2001,9.02175838116667
"85",1,2002,11.6842803026667
"86",2,2002,8.95419565716667
"87",1,2003,11.5298295446667
"88",2,2003,9.15889732166667
"89",1,2004,11.2726799233333
"90",2,2004,8.887971749
"91",1,2005,12.124763257
"92",2,2005,9.61366223833333
"93",1,2006,12.7964962115
"94",2,2006,9.39136622283333
"95",1,2007,11.8491382568333
"96",2,2007,9.13541007883333
"97",1,2008,10.8621306816667
"98",2,2008,7.77079907283333
"99",1,2009,11.3159469691667
"100",2,2009,8.78933164733333
"101",1,2010,12.4959185593333
"102",2,2010,9.34003795116667
"103",1,2011,12.9357196965
"104",2,2011,10.2085916088333
"105",1,2012,11.3554261366667
"106",2,2012,8.37415138066667
"107",1,2013,12.8088068201667
"108",2,2013,10.3751633976667
"109",1,2014,12.009422349
"110",2,2014,9.09242040833333
"111",1,2015,11.2932291668333
"112",2,2015,8.76237613333333
"113",1,2016,12.1011363641667
"114",2,2016,9.86468479816667
"115",1,2017,10.4754261355
"116",2,2017,7.84236770083333
"117",1,2018,13.4504450761667
"118",2,2018,10.3915665203333
"119",1,2019,11.4212500016667
"120",2,2019,8.22802024183333
