"V1","V2","V3","V4"
0.00593995722750317,0.0001772162426782,0.000303504443790507,0.00333046977162713
0.00593995722750317,0.0001772162426782,0.000303504443790507,0.00333046977162713
0.00593995722750317,0.0001772162426782,0.000303504443790507,0.00333046977162713
0.00593995722750317,0.0001772162426782,0.000303504443790507,0.00333046977162713
0.00593995722750317,0.0001772162426782,0.000303504443790507,0.00333046977162713
0.0065032290335595,0.00019402123120803,0.000332285037598227,0.00364629018100557
0.0065032290335595,0.00019402123120803,0.000332285037598227,0.00364629018100557
0.0065032290335595,0.00019402123120803,0.000332285037598227,0.00364629018100557
0.0065032290335595,0.00019402123120803,0.000332285037598227,0.00364629018100557
0.00652258483461763,0.000194598703773264,0.000333274029843334,0.00365714276930894
0.00654205619840229,0.000195179624106118,0.000334268926811269,0.00366806015238317
0.00656164416295345,0.000195764023176097,0.000335269781541091,0.00367904291224602
0.00658134977878062,0.000196351932324732,0.000336276647708996,0.00369009163790685
0.00660117410905071,0.000196943383271182,0.000337289579637913,0.00370120692547181
0.00662111822977921,0.000197538408117937,0.000338308632307277,0.00371238937825117
0.00664118323002486,0.000198137039356628,0.000339333861362971,0.00372363960686837
0.00664195566439267,0.000198160084626339,0.000339373329199891,0.00372407270246385
0.00664272827846468,0.000198183135257452,0.000339412806218867,0.00372450589881753
0.00664362247472634,0.000198209813244454,0.0003394584955275,0.00372500726498993
0.00664459848898621,0.000198238932238634,0.000339508365358836,0.00372555450562899
0.00664585948266342,0.000198276553479488,0.000339572796325249,0.00372626153114505
0.0066474076357601,0.000198322742006505,0.000339651899814805,0.00372712956384173
0.00664958313252534,0.000198387647080385,0.000339763057675109,0.0037283493413481
0.0133035331137706,0.000396905577341751,0.000679749241197947,0.00745914712754218
0.0133080850425137,0.000397041382311027,0.000679981823782033,0.00746169934475532
0.0133129638391731,0.000397186939253553,0.000680231107810481,0.00746443483327379
0.0133178815934226,0.000397333658480163,0.000680482382392273,0.00746719216489169
0.0133228495683639,0.00039748187602098,0.000680736223020005,0.00746997765470829
0.0144825338277328,0.000432080591006138,0.000739990745002534,0.00812020007593665
0.0144899930106511,0.000432303132738273,0.00074037187487873,0.00812438235912131
0.0144973603805918,0.000432522935267031,0.000740748313534839,0.00812851316376254
0.0145045279160728,0.00043273677581479,0.000741114541570862,0.00813253192338353
0.0145112183165392,0.000432936381230666,0.00074145639020622,0.00813628315856254
0.0249336402619709,0.000743885161842107,0.0012739941264801,0.0139800224157549
0.024943510459228,0.000744179635220515,0.00127449844807938,0.0139855565286021
0.0249527859747524,0.000744456366507828,0.00127497238418233,0.0139907572098338
0.0249619141535199,0.000744728702062061,0.00127543879205591,0.0139958752809395
0.0249697546477903,0.000744962620065527,0.00127583940518517,0.0140002713612751
0.0249749539691051,0.000745117739732656,0.00127610506654658,0.0140031865645011
0.0249768454873345,0.00074517417242076,0.00127620171441223,0.0140042471183139
0.024977470207495,0.000745192810696312,0.00127623363473381,0.014004597392151
0.0295073692385667,0.000880340532346756,0.00150769060204778,0.016544462784052
0.02950345177536,0.000880223656402414,0.00150749043772907,0.0165422663048028
0.0294981721007249,0.000880066139426185,0.00150722067068325,0.0165393060483392
