region ipcc soil kptyy tkang ojlk apu X1990 X1991 X1992 X1993 X1994 X1995 X1996 X1997 X1998 X1999 X2000 X2001 X2002 X2003 X2004 X2005 X2006 X2007 X2008 X2009 X2010 X2011 X2012 X2013 X2014 X2015 X2016 X2017 X2018 X2019 X2020
2 1 2 1 1 1 111 89480 86364 83225 80052 76885 73792 70698 67609 64556 59821 55097 50384 45687 40981 36289 31668 27051 22439 20531 18614 16966 15327 13960 12610 11262 9826 8382 8547 9119 9185 9180
2 1 2 1 1 2 112 102636 102985 103240 103425 103566 103787 104020 104344 104733 110070 115405 120584 125835 131041 136250 141437 146827 152111 163455 174707 185669 196620 188077 179601 171296 162784 154320 154501 154613 154594 154774
2 1 2 1 2 2 122 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 87 174 260 347 277 208 138 69 0 0 0 0 0
2 1 2 1 3 1 131 0 0 0 0 0 0 0 0 0 124 247 370 494 616 739 861 983 1104 827 551 275 0 154 307 460 614 767 766 320 362 463
2 1 2 1 3 2 132 0 0 0 0 0 0 0 0 0 41 82 123 164 205 246 287 328 368 450 531 613 694 555 416 277 138 0 0 0 0 0
2 1 2 3 2 1 321 160826 157781 154700 151582 148462 145317 142154 138980 135799 126217 116629 107033 97442 87834 78252 68674 59112 49564 43955 38340 32689 27058 25390 23726 22079 20431 18781 18773 18765 18752 18743
2 1 2 3 2 2 322 94372 97955 101595 105288 108983 112663 116403 120133 123856 133777 143674 153538 163377 173143 182905 192618 202292 211829 214093 216257 218516 220882 219926 218908 218030 217129 216127 216037 215948 215799 215689
2 1 2 3 3 1 331 96715 94733 92658 90590 88550 86525 84518 82607 80691 76184 71673 67155 62638 58106 53589 49071 44557 40047 35927 31801 27806 23826 21022 18195 15353 12482 9582 9578 9574 9567 9563
2 1 2 3 3 2 332 56561 58561 60552 62401 64338 66280 68230 70188 72229 78013 83798 89505 95212 100947 106680 112455 118279 124072 127857 131572 135615 139602 149528 159572 169621 179633 189597 189807 189930 189986 190062
2 1 2 3 5 1 351 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 87 174 260 347 277 208 138 69 0 0 0 0 0
2 1 2 3 5 2 352 0 0 0 0 0 0 0 0 0 41 82 123 164 205 246 287 328 368 363 357 352 347 277 208 138 69 0 0 0 0 0
2 1 2 4 4 1 441 264361 260526 256629 252674 248688 244629 240438 236200 231771 217275 202796 188400 174037 159819 145638 131473 117343 103243 92160 81079 69950 58862 52287 45720 39226 32755 26385 26569 26923 27242 27536
2 1 2 4 4 2 442 67594 72675 77748 82808 87884 92961 98039 103122 108212 118524 128813 139072 149307 159473 169633 179740 189804 199813 211784 223627 235528 247444 247019 246604 246332 246024 245669 245579 245478 245309 245184
2 1 2 4 5 1 451 176935 174244 171370 168455 165564 162596 159559 156679 153814 145843 137574 129365 121156 112920 104709 96505 88317 80145 74330 68502 62767 57057 50088 42817 35559 28348 20100 19786 19922 20050 20110
2 1 2 4 5 2 452 45304 48747 52185 55585 58944 62250 65434 68567 71713 75314 78874 82534 86227 89898 93716 97581 101426 105245 113038 120760 128475 136195 149892 163601 177443 191304 205244 205437 205615 205839 206129
2 1 2 4 6 1 461 0 0 0 0 0 0 0 0 0 307 974 1640 2305 2968 3630 4289 4947 5602 5413 5221 5032 4843 3857 2714 1574 435 383 383 383 383 383
2 1 2 4 6 2 462 0 0 0 0 0 0 0 0 0 824 1647 2469 3290 4108 4925 5740 6552 7360 8823 10278 11731 13182 11535 9891 8255 6618 4983 4981 4978 4975 4973
2 1 2 5 6 1 561 322543 319831 317050 314283 311786 309358 306940 304619 302329 294069 285884 277691 269516 261276 253074 244878 236709 228562 211751 194919 178903 162242 151322 140340 129191 118073 107397 107601 107757 107854 107869
2 1 2 5 6 2 562 30849 33069 35286 37496 39635 41770 43900 46026 48150 57082 65999 74897 83778 92614 101441 110228 118979 127686 136676 145577 154473 163375 180200 197002 213983 230932 247836 247806 247776 247605 247479
2 1 2 5 7 1 571 0 0 0 0 0 0 0 0 0 165 329 494 658 822 985 1148 1310 1472 2322 3168 4013 4857 4112 3369 2629 1889 1150 1149 1149 1148 1148
2 1 2 5 7 2 572 0 0 0 0 0 0 0 0 0 247 494 741 987 1232 1478 1722 1965 2208 2873 3535 4196 4857 3882 2909 1939 969 0 0 0 0 0
2 1 2 6 6 1 661 0 0 0 0 0 0 0 0 0 124 247 370 494 616 739 861 983 1104 1524 1942 2359 2775 2525 2276 2028 1781 1533 1532 1532 1531 1530
2 1 2 6 6 2 662 0 0 0 0 0 0 0 0 0 82 165 247 329 411 493 574 655 736 639 541 444 347 277 208 138 69 0 0 0 0 0
2 1 2 6 7 1 671 3807 4684 5562 6425 7202 7963 8709 9440 10185 11315 12457 13611 14776 15934 17091 18248 19407 20567 18808 17052 15273 13410 12538 11498 10555 9626 8800 8758 8884 8920 8944
2 1 2 6 7 2 672 616 718 820 923 1025 1127 1230 1332 1434 1768 2103 2436 2769 3100 3431 3761 4090 4417 4267 4115 3965 3816 3588 3360 3134 2909 2683 2682 2681 2679 2678
2 1 2 16 17 12 999 1512599 1512873 1512620 1511987 1511512 1511018 1510272 1509846 1509472 1507227 1505043 1502782 1500642 1498269 1496179 1494106 1492244 1490062 1492040 1493394 1496130 1498312 1492565 1486268 1480778 1474976 1469719 1470272 1471347 1471780 1472437
2 1 2 NA NA NA NA 1764046 1763857 1763018 1761743 1760626 1759378 1757848 1756692 1755574 1754192 1752913 1751518 1750225 1748611 1747299 1745958 1744798 1743278 1742353 1740532 1739816 1738440 1737266 1735524 1734904 1734354 1734375 1734613 1735556 1735692 1736029
3 1 1 NA NA NA NA 2348764 2348864 2349181 2349485 2349801 2349766 2349598 2348935 2348423 2347800 2346921 2345642 2344252 2342569 2340897 2339261 2337900 2336389 2334680 2332719 2330658 2328486 2326537 2325107 2324023 2323112 2322473 2321924 2321009 2320094 2318812
3 1 2 0 0 0 0 394084 389421 384796 380114 375406 370644 365904 360992 356076 351040 345932 340727 335413 330064 324732 319375 313990 308660 318062 327487 336931 346500 348070 349674 351220 352765 354178 353954 353692 353449 353187
3 1 2 1 1 1 111 144142 138669 133202 127708 122198 116664 111131 105540 99951 94333 88701 83054 76245 69442 62656 55880 49115 42375 38088 33807 29474 25156 24027 22901 21772 20643 19508 19496 19481 19468 19453
3 1 2 1 1 2 112 26861 31244 35640 40039 44444 48851 53268 57666 62061 66432 70782 75105 76643 78165 79681 81181 82664 84152 87250 90381 93456 96566 93558 90560 87548 84538 81500 81448 81388 81332 81272
3 1 2 1 3 1 131 0 0 0 0 0 0 0 0 0 0 0 0 2668 5333 7994 10651 13302 15950 12969 9993 7023 4057 3506 2955 2403 1852 1301 1300 1299 1298 1297
3 1 2 1 3 2 132 0 0 0 0 0 0 0 0 0 0 0 0 555 1110 1664 2216 2768 3319 2995 2672 2350 2029 1623 1217 811 405 0 0 0 0 0
3 1 2 3 2 1 321 117495 115004 112521 110020 107509 104981 102457 99883 97315 94721 92116 89494 82446 75405 68383 61372 54375 47404 43695 39993 36217 32459 32386 32316 32241 32167 32080 32059 32036 32014 31990
3 1 2 3 2 2 322 20655 24216 27786 31360 34938 38518 42107 45680 49257 52819 56371 59904 66235 72551 78861 85155 91428 97706 99968 102232 104451 106709 106532 106366 106183 105999 105777 105710 105631 105559 105481
