region year peat_type litter_type ground litter_biomass mortality
north 1997 4 fine_woody_litter below 0.0479440344016894 alive
north 1997 4 non-woody_litter above 0.442769301462958 alive
north 1997 6 fine_woody_litter above 0.0540064659327567 alive
north 1997 6 fine_woody_litter below 0.0257037276227475 alive
north 1997 6 non-woody_litter above 0.260742256219492 alive
north 1997 7 fine_woody_litter above 0.0349370994898211 alive
north 1997 7 fine_woody_litter below 0.0147894935030616 alive
north 1997 7 non-woody_litter above 0.170431619435069 alive
north 1998 1 fine_woody_litter above 0.119523996962964 alive
north 1998 1 fine_woody_litter below 0.0825632625629054 alive
north 1998 1 non-woody_litter above 0.856405434051758 alive
north 1998 2 fine_woody_litter above 0.119833466301464 alive
north 1998 2 fine_woody_litter below 0.0785964766545932 alive
north 1998 2 non-woody_litter above 0.665154937699015 alive
north 1998 4 fine_woody_litter above 0.0904058293328534 alive
north 1998 4 fine_woody_litter below 0.0493604842063991 alive
north 1998 4 non-woody_litter above 0.450545961366615 alive
north 1998 6 fine_woody_litter above 0.0550559267532805 alive
north 1998 6 fine_woody_litter below 0.0262982510232435 alive
north 1998 6 non-woody_litter above 0.266462921654341 alive
north 1998 7 fine_woody_litter above 0.0319169602834059 alive
north 1998 7 fine_woody_litter below 0.0136531115019942 alive
north 1998 7 non-woody_litter above 0.152725763249042 alive
north 1999 1 fine_woody_litter above 0.121231572240598 alive
north 1999 1 fine_woody_litter below 0.0839409862478639 alive
north 1999 1 non-woody_litter above 0.858981422349087 alive
north 1999 2 fine_woody_litter above 0.123180914982099 alive
north 1999 2 fine_woody_litter below 0.0805376416623496 alive
north 1999 2 non-woody_litter above 0.67509206963669 alive
north 1999 4 fine_woody_litter above 0.0928049184613147 alive
north 1999 4 fine_woody_litter below 0.0507769340111087 alive
north 1999 4 non-woody_litter above 0.458322621270271 alive
north 1999 6 fine_woody_litter above 0.0561053875738044 alive
north 1999 6 fine_woody_litter below 0.0268927744237396 alive
north 1999 6 non-woody_litter above 0.272183587089191 alive
north 1999 7 fine_woody_litter above 0.0288968210769906 alive
north 1999 7 fine_woody_litter below 0.0125167295009269 alive
north 1999 7 non-woody_litter above 0.135019907063016 alive
north 2000 1 fine_woody_litter above 0.122939147518231 alive
north 2000 1 fine_woody_litter below 0.0853187099328225 alive
north 2000 1 non-woody_litter above 0.86155741064642 alive
north 2000 2 fine_woody_litter above 0.126528363662735 alive
north 2000 2 fine_woody_litter below 0.082478806670106 alive
north 2000 2 non-woody_litter above 0.685029201574361 alive
north 2000 4 fine_woody_litter above 0.0952040075897761 alive
