region peat_type year basal_area
north 1 1990 12.8714891584871
north 1 1991 13.080652140367
north 1 1992 13.2898151221688
north 1 1993 13.4995511532358
north 1 1994 13.7087141350646
north 1 1995 13.9178771168633
north 1 1996 14.1270400986621
north 1 1997 14.3367761297082
north 1 1998 14.54593911151
north 1 1999 14.7551020933118
north 1 2000 14.9642650751136
north 1 2001 15.1740011061806
north 1 2002 15.3831640879824
north 1 2003 15.587482744606
north 1 2004 15.7469434016946
north 1 2005 15.9068409372941
north 1 2006 16.0663015943801
north 1 2007 16.2308323980249
north 1 2008 16.4344560334631
north 1 2009 16.6386375418745
north 1 2010 16.8422611773198
north 1 2011 17.0458848127527
north 1 2012 17.1244590753478
north 1 2013 16.9550787404509
north 1 2014 16.7861611934026
north 1 2015 16.6172436463231
north 1 2016 16.4483260992368
north 1 2017 16.4223382905
north 1 2018 16.4223382905
north 1 2019 16.4223382905
north 2 1990 11.4461970219601
north 2 1991 11.7752718237665
north 2 1992 12.1043466254499
north 2 1993 12.4343230019325
north 2 1994 12.7633978036583
north 2 1995 13.092472605337
north 2 1996 13.4215474070156
north 2 1997 13.7515237834653
north 2 1998 14.0805985851487
north 2 1999 14.4096733868322
north 2 2000 14.7387481885156
north 2 2001 15.0687245649981
north 2 2002 15.3977993666816
north 2 2003 15.7117693062118
north 2 2004 15.8858696304142
north 2 2005 16.0604469418042
north 2 2006 16.2345472660036
north 2 2007 16.4181955747462
north 2 2008 16.6754626139946
north 2 2009 16.9334344944457
north 2 2010 17.1907015337033
north 2 2011 17.4479685729451
north 2 2012 17.7720694048673
north 2 2013 18.2296948640013
north 2 2014 18.6860699802206
north 2 2015 19.142445096524
north 2 2016 19.5988202128457
north 2 2017 19.6690331033345
north 2 2018 19.6690331033345
north 2 2019 19.6690331033345
north 4 1990 8.08531801003229
north 4 1991 8.32286846266688
north 4 1992 8.56041891521272
north 4 1993 8.79862019091622
north 4 1994 9.03617064349268
north 4 1995 9.27372109603509
north 4 1996 9.51127154857749
north 4 1997 9.74947282425725
north 4 1998 9.98702327680309
north 4 1999 10.2245737293489
north 4 2000 10.4621241818948
north 4 2001 10.7003254575983
north 4 2002 10.9378759101441
north 4 2003 11.1776265766187
north 4 2004 11.4377510189039
north 4 2005 11.6985881308912
north 4 2006 11.958712573172
north 4 2007 12.216689847225
north 4 2008 12.458111606773
north 4 2009 12.7001947957985
north 4 2010 12.9416165553551
north 4 2011 13.1830383148969
north 4 2012 13.4676478721566
north 4 2013 13.8387466089329
north 4 2014 14.208831414629
north 4 2015 14.5789162203932
north 4 2016 14.9490010261723
north 4 2017 15.0059382320155
north 4 2018 15.0059382320155
north 4 2019 15.0059382320155
north 6 1990 5.26300331857109
north 6 1991 5.39187123523071
north 6 1992 5.52073915184219
north 6 1993 5.64996013123891
north 6 1994 5.77882804786699
north 6 1995 5.90769596447661
north 6 1996 6.03656388108622
north 6 1997 6.16578486047005
north 6 1998 6.29465277708153
north 6 1999 6.42352069369301
north 6 2000 6.55238861030449
north 6 2001 6.68160958970121
north 6 2002 6.81047750631268
north 6 2003 6.96625320229817
north 6 2004 7.37119242658843
north 6 2005 7.77724107340664
north 6 2006 8.18218029769011
north 6 2007 8.55806302550399
north 6 2008 8.70990869444742
north 6 2009 8.8621703789218
north 6 2010 9.01401604787062
north 6 2011 9.16586171681017
north 6 2012 9.32745147184784
north 6 2013 9.50882180905854
north 6 2014 9.68969659884823
north 6 2015 9.87057138867127
north 6 2016 10.0514461785015
north 6 2017 10.079273598
north 6 2018 10.079273598
north 6 2019 10.079273598
north 7 1990 7.47135451267388
north 7 1991 7.07647898034105
north 7 1992 6.68160344815575
north 7 1993 6.28564606519734
north 7 1994 5.89077053296114
north 7 1995 5.49589500078156
north 7 1996 5.10101946860197
north 7 1997 4.70506208568303
north 7 1998 4.31018655349772
north 7 1999 3.91531102131242
north 7 2000 3.52043548912712
north 7 2001 3.12447810616871
north 7 2002 2.72960257398341
north 7 2003 2.43062754049644
north 7 2004 3.01968218398217
north 7 2005 3.61035067579991
north 7 2006 4.19940531927577
north 7 2007 4.76342826964813
north 7 2008 5.13444698424904
north 7 2009 5.506482188478
north 7 2010 5.87750090309207
north 7 2011 6.24851961768349
north 7 2012 6.3523044215303
north 7 2013 5.9260278067677
north 7 2014 5.50091588233062
north 7 2015 5.07580395781517
north 7 2016 4.65069203328272
north 7 2017 4.585288956
north 7 2018 4.585288956
north 7 2019 4.585288956
south 1 1990 17.2610578936638
south 1 1991 17.4324793096892
south 1 1992 17.6039007257147
south 1 1993 17.7757917894469
south 1 1994 17.9472132054739
south 1 1995 18.1186346215008
south 1 1996 18.2900560373581
south 1 1997 18.4619471010749
south 1 1998 18.6333685170766
south 1 1999 18.7723508641538
south 1 2000 18.8676368284577
south 1 2001 18.9631838501979
south 1 2002 19.0584698144988
south 1 2003 19.1537557788032
south 1 2004 19.2490417431077
south 1 2005 19.3445887648486
south 1 2006 19.4398747291531
south 1 2007 19.5102921083942
south 1 2008 19.5351598538009
south 1 2009 19.5600957300267
south 1 2010 19.5849634754367
south 1 2011 19.6098312208481
south 1 2012 19.7008660004847
south 1 2013 19.88234464704
south 1 2014 20.0633274503772
south 1 2015 20.2443102536683
south 1 2016 20.425293056945
south 1 2017 20.454598069
south 1 2018 20.454598069
