region year litter
north 1990 0.219954285980718
north 1991 0.247789261853998
north 1992 0.252674784257216
north 1993 0.267951387230334
north 1994 0.268573553160085
north 1995 0.240764502804725
north 1996 0.26104266313916
north 1997 0.278786371872929
north 1998 0.286935586387425
north 1999 0.296770524649253
north 2000 0.307179774435562
north 2001 0.302089184217074
north 2002 0.31239835265073
north 2003 0.344499074812354
north 2004 0.347804186416485
north 2005 0.324628892511716
north 2006 0.351890271044557
north 2007 0.386275509290255
north 2008 0.305333474264422
north 2009 0.361844648821728
north 2010 0.370934344174878
north 2011 0.366431719125875
north 2012 0.38918288699251
north 2013 0.386285366090595
north 2014 0.38395189355751
north 2015 0.374427064980348
north 2016 0.389138920646655
north 2017 0.432292364477596
north 2018 0.430020914290472
north 2019 0.410593854869994
north 2020 0.422831261257163
south 1990 0.427116331295022
south 1991 0.476232560965332
south 1992 0.500638256511852
south 1993 0.565258512849152
south 1994 0.58611832283219
south 1995 0.540785835241316
south 1996 0.6073555632772
south 1997 0.629886577183463
south 1998 0.641449184114647
south 1999 0.657032532563209
south 2000 0.636937472124651
south 2001 0.639966852525838
south 2002 0.640611519779775
south 2003 0.668086748604862
south 2004 0.653423331676342
south 2005 0.628717715820015
south 2006 0.682566561064406
south 2007 0.655741649492437
south 2008 0.57816472769321
south 2009 0.673557894633221
south 2010 0.671320688648248
south 2011 0.66643493441191
south 2012 0.738097284975196
south 2013 0.74617007273392
south 2014 0.792676753489582
south 2015 0.824424552956361
south 2016 0.850400032005045
south 2017 0.917091985101977
south 2018 0.861660241011767
south 2019 0.796887783267394
south 2020 0.832409145823407
