region tkg species component year bm
1 1 1 1 1990 6.46547754653844
1 1 1 2 1990 0.500283196917873
1 1 1 3 1990 1.24225227130029
1 1 1 4 1990 0.491968426247346
1 1 1 5 1990 0.341936238297153
1 1 1 6 1990 0.595312209617172
1 1 1 7 1990 1.79195919453501
1 1 2 1 1990 18.905729762949
1 1 2 2 1990 2.25665959651377
1 1 2 3 1990 6.33517184068046
1 1 2 4 1990 4.44961592123784
1 1 2 5 1990 0.736914122491275
1 1 2 6 1990 1.92266714195261
1 1 2 7 1990 7.41879936131199
1 1 3 1 1990 19.3784012873901
1 1 3 2 1990 3.44844950397285
1 1 3 3 1990 4.7072202533639
1 1 3 4 1990 1.38309999710568
1 1 3 5 1990 0.223983017674418
1 1 3 6 1990 2.12570166649855
1 1 3 7 1990 7.02398020498781
1 2 1 1 1990 11.8170898583248
1 2 1 2 1990 0.976888030360514
1 2 1 3 1990 2.15373634113402
1 2 1 4 1990 0.864653079702793
1 2 1 5 1990 0.538583087980561
1 2 1 6 1990 1.08619641059156
1 2 1 7 1990 3.24524773487641
1 2 2 1 1990 20.2671297094862
1 2 2 2 1990 2.52066902188238
1 2 2 3 1990 7.0046968312063
1 2 2 4 1990 5.06468680961094
1 2 2 5 1990 0.849430637428243
1 2 2 6 1990 2.0323309635801
1 2 2 7 1990 8.21063411171747
1 2 3 1 1990 15.0785477747321
1 2 3 2 1990 2.78729817265439
1 2 3 3 1990 3.55355946156886
1 2 3 4 1990 1.02875260960189
1 2 3 5 1990 0.116582790439636
1 2 3 6 1990 1.68295230599628
1 2 3 7 1990 5.72971232230441
1 4 1 1 1990 20.5957791407702
1 4 1 2 1990 2.1727651246127
1 4 1 3 1990 4.51155913573409
1 4 1 4 1990 2.09622534487073
1 4 1 5 1990 0.950099544105951
1 4 1 6 1990 1.994987337408
1 4 1 7 1990 5.53574934166864
1 4 2 1 1990 2.43444675400742
1 4 2 2 1990 0.358593079155227
1 4 2 3 1990 1.06260131861578
1 4 2 4 1990 0.865968360144795
1 4 2 5 1990 0.117136431534252
1 4 2 6 1990 0.287325625958806
1 4 2 7 1990 1.24842181011312
1 4 3 1 1990 6.51524990558438
1 4 3 2 1990 1.28454558470171
1 4 3 3 1990 1.75572786251818
1 4 3 4 1990 0.612871384951496
1 4 3 5 1990 0.0737259454856905
1 4 3 6 1990 0.907523871708319
1 4 3 7 1990 2.97904121884173
1 6 1 1 1990 12.8478281701565
1 6 1 2 1990 1.88476441044993
1 6 1 3 1990 3.6883445981946
1 6 1 4 1990 1.85660261913314
1 6 1 5 1990 0.669703816204458
1 6 1 6 1990 1.42367678685174
1 6 1 7 1990 3.71436540645659
1 6 2 1 1990 0.131776973244166
1 6 2 2 1990 0.0241046067646105
1 6 2 3 1990 0.0697299284489167
1 6 2 4 1990 0.0625698427288568
1 6 2 5 1990 0.00870557876908002
1 6 2 6 1990 0.0198265821924545
1 6 2 7 1990 0.0946076026659707
1 6 3 1 1990 1.25903724318196
1 6 3 2 1990 0.26699705574316
1 6 3 3 1990 0.39297861132195
1 6 3 4 1990 0.151185875046023
1 6 3 5 1990 0.038146180161442
1 6 3 6 1990 0.208864960704162
1 6 3 7 1990 0.634563006293831
1 7 1 1 1990 6.74596632603679
1 7 1 2 1990 1.36825047071772
1 7 1 3 1990 2.46460615289738
1 7 1 4 1990 1.39115905871314
1 7 1 5 1990 0.504818309649463
1 7 1 6 1990 0.821876795090367
1 7 1 7 1990 1.96966956241916
1 7 2 1 1990 0.095928865040084
1 7 2 2 1990 0.0195873812924973
1 7 2 3 1990 0.0457473753925823
1 7 2 4 1990 0.047501893990012
1 7 2 5 1990 0.00783060210020767
1 7 2 6 1990 0.014953635059441
1 7 2 7 1990 0.0680266424845768
1 7 3 1 1990 0.263130309920846
1 7 3 2 1990 0.0552019232947754
1 7 3 3 1990 0.116740602139923
1 7 3 4 1990 0.10426353904532
1 7 3 5 1990 0.0141176331707491
1 7 3 6 1990 0.040268276062324
1 7 3 7 1990 0.157156665050361
2 1 1 1 1990 4.60063366412864
2 1 1 2 1990 0.546472992551082
2 1 1 3 1990 1.2772197569798
2 1 1 4 1990 0.555704356916952
2 1 1 5 1990 0.287043658921598
2 1 1 6 1990 0.516064075244474
2 1 1 7 1990 1.41669419607093
