"","x"
"1",-0.0162066666666663
"2",-0.03565
"3",-0.0430120000000001
"4",-0.062452
"5",-0.0516240000000002
"6",-0.0203260000000002
"7",0.00337600000000009
"8",0.0101120000000002
"9",0.0114700000000001
"10",0.00142000000000007
"11",-0.00208199999999987
"12",-0.0119900000000001
"13",-0.00187400000000011
"14",0.0125299999999999
"15",0.023554
"16",0.0255699999999999
"17",0.023624
"18",0.0244540000000001
"19",0.023842
"20",0.032288
"21",0.043534
"22",0.060514
"23",0.078884
"24",0.0944380000000001
"25",0.0978960000000001
"26",0.0996439999999998
"27",0.105876
"28",0.100248
"29",0.0919859999999998
"30",0.0892580000000001
"31",0.0825620000000002
"32",0.0760959999999999
"33",0.0789260000000001
"34",0.0750940000000002
"35",0.0553959999999998
"36",0.0586039999999999
"37",0.0657439999999999
"38",0.0610760000000001
"39",0.077046
"40",0.10316
"41",0.116304
"42",0.134986
"43",0.15736
"44",0.176602
"45",0.180994
"46",0.186035
"47",0.18868
