nwl.NF fwl.NF cwl.NF nwl.SF fwl.SF cwl.SF
A 0.0358910540279675 0.119470666894849 0.0513125556314918 0.0402741219475833 0.182391420388805 0.0770868096982272
W 0.0103813509136285 0.00359947787631482 0.00135213393362874 0.0117830834439042 0.00529394466976507 0.00195637125687956
E 0.00516798760387907 0.00647505555788542 0.000233437527056755 0.00586796598607225 0.00870998565777519 0.000281666924274433
N 0.019302529217743 0.0677118858769447 0.0211274228747801 0.0223255942800484 0.099782076389454 0.0316086649299874
H 0 0 0 0 0 0
