"","V1","V2","V3"
"1",0.0661558493571153,0.193980795786278,0.074909023456418
"2",0.0663525624596378,0.191460567409818,0.074246762736644
"3",0.0654461806822816,0.18914210179879,0.0729208637078099
"4",0.0599686896774198,0.182532467852486,0.0714234555816401
"5",0.0546906791183949,0.165494827706895,0.0658596278336927
"6",0.0615311830986776,0.190804420054936,0.0742178841830812
"7",0.0585995431914303,0.184807063912344,0.0725886514256917
"8",0.0564997954655484,0.177642374954232,0.070420392224616
"9",0.0455417207236428,0.140410487592103,0.0726490790149623
"10",0.0342607180808407,0.106544773793863,0.0614921982732127
"11",0.0386649193625693,0.123326526702422,0.0674607981745098
"12",0.0400003996542941,0.125293492670197,0.0681610085399182
"13",0.0441057195448585,0.133793685811137,0.0708492205389946
"14",0.0438287768774428,0.134345886591279,0.0712337484781582
"15",0.0385088901710789,0.11714646021035,0.066008374477076
"16",0.0412647900559172,0.125588700911178,0.072445564402844
"17",0.0435134308813345,0.132781109430436,0.0781128510271177
"18",0.0430501322822296,0.134171521647836,0.0826374132872425
"19",0.0440740971587207,0.136515009285976,0.0864730836963374
"20",0.0447142331379694,0.13886143893866,0.0911914152384799
"21",0.0436293163158459,0.136719293378109,0.0893110396490607
"22",0.0462207975198729,0.142808264853542,0.0909242011409383
"23",0.0481411808336307,0.146955663092709,0.116941270576086
"24",0.0477557345240638,0.148052939644291,0.119516510427905
"25",0.0435354377536996,0.135628251926925,0.112970909705743
"26",0.0510355224469733,0.157720584107741,0.108710263131136
"27",0.0514164955702889,0.16704015416539,0.130446402688152
"28",0.0431877683301504,0.12681281910495,0.108299732272856
"29",0.054569735725126,0.158043813515452,0.120457703143185
"30",0.057066746448937,0.165376382450192,0.120394407712333
"31",0.0554148498759811,0.162582273949529,0.121148046628827
"32",0.0596218781524705,0.176173383577546,0.127430851451988
"33",0.0597764839202829,0.175665166982056,0.125805567459193
"34",0.0595780737892368,0.173766971616896,0.123767727606059
"35",0.0585481662580919,0.169857784738834,0.120053131779961
"36",0.0608112775747378,0.176997624336797,0.125746281113382
"37",0.0684848034497049,0.198546703477276,0.137731629481266
"38",0.0683770775280137,0.199902812036068,0.139391177766177
