"","V1","V2","V3"
"1",0.0661558493571153,0.193980795786278,0.074909023456418
"2",0.0663525624596378,0.191460567409818,0.074246762736644
"3",0.0654461806822816,0.18914210179879,0.0729208637078099
"4",0.0599686896774198,0.182532467852486,0.0714234555816401
"5",0.0546906791183949,0.165494827706895,0.0658596278336927
"6",0.0615311830986776,0.190804420054936,0.0742178841830812
"7",0.0585995431914303,0.184807063912344,0.0725886514256917
"8",0.0564997954655484,0.177642374954232,0.070420392224616
"9",0.0455417207236428,0.140410487592103,0.0726490790149623
"210",0.0455417207236428,0.140410487592103,0.0726490790149623
"31",0.0455417207236428,0.140410487592103,0.0726490790149623
"41",0.0455417207236428,0.140410487592103,0.0726490790149623
"51",0.0455417207236428,0.140410487592103,0.0726490790149623
"61",0.0455417207236428,0.140410487592103,0.0726490790149623
"71",0.0455417207236428,0.140410487592103,0.0726490790149623
"81",0.0455417207236428,0.140410487592103,0.0726490790149623
"9.1",0.0455417207236428,0.140410487592103,0.0726490790149623
"10",0.0455417207236428,0.140410487592103,0.0726490790149623
"11",0.0455417207236428,0.140410487592103,0.0726490790149623
"12",0.0455417207236428,0.140410487592103,0.0726490790149623
"13",0.0455417207236428,0.140410487592103,0.0726490790149623
"14",0.0455417207236428,0.140410487592103,0.0726490790149623
"15",0.0455417207236428,0.140410487592103,0.0726490790149623
"16",0.0455417207236428,0.140410487592103,0.0726490790149623
"17",0.0455417207236428,0.140410487592103,0.0726490790149623
"18",0.0455417207236428,0.140410487592103,0.0726490790149623
"19",0.0455417207236428,0.140410487592103,0.0726490790149623
"20",0.0455417207236428,0.140410487592103,0.0726490790149623
"21",0.0455417207236428,0.140410487592103,0.0726490790149623
"22",0.0455417207236428,0.140410487592103,0.0726490790149623
"23",0.0455417207236428,0.140410487592103,0.0726490790149623
"24",0.0455417207236428,0.140410487592103,0.0726490790149623
"25",0.0455417207236428,0.140410487592103,0.0726490790149623
"26",0.0455417207236428,0.140410487592103,0.0726490790149623
"27",0.0455417207236428,0.140410487592103,0.0726490790149623
"28",0.0455417207236428,0.140410487592103,0.0726490790149623
"29",0.0455417207236428,0.140410487592103,0.0726490790149623
"30",0.0455417207236428,0.140410487592103,0.0726490790149623
