"","x"
"1",0.00571999999999987
"2",-0.00273500000000015
"3",0.000705999999999918
"4",-0.000918000000000241
"5",-0.00373999999999999
"6",-0.0104799999999999
"7",-0.0219079999999998
"8",-0.034718
"9",-0.043566
"10",-0.0466200000000001
"11",-0.0427380000000001
"12",-0.034102
"13",-0.0278179999999999
"14",-0.0193959999999999
"15",-0.013142
"16",-0.00574199999999987
"17",0.00830000000000002
"18",0.0162099999999999
"19",0.021646
"20",0.031532
"21",0.0395659999999999
"22",0.0404919999999999
"23",0.047278
"24",0.058066
"25",0.0487540000000001
"26",0.0503780000000001
"27",0.058564
"28",0.060568
"29",0.0604280000000001
"30",0.072756
"31",0.0720839999999999
"32",0.0677660000000001
"33",0.067206
"34",0.0704079999999999
"35",0.0743059999999998
"36",0.0768899999999999
"37",0.0851466666666664
