"","V1","V2","V3","V4","V1","V2","V3","V4","V1","V2","V3","V4"
"1",0.032879321582247,0.0101989709870365,0.00509861642254153,0.0179789403652903,0.117574533074361,0.00353268358336139,0.0063559873360506,0.0665175917925043,0.0519588604500442,0.00136463336536232,0.000232733199864006,0.0213527964411474
"2",0.0331423555751574,0.010174991986584,0.00508665026378262,0.0179485646341137,0.115890178879218,0.00350424241040326,0.00631225085580035,0.0657538952643968,0.0514467282886239,0.00136340278480324,0.000241183035046073,0.0211954486281709
"3",0.0325554984848311,0.0100089540917381,0.00500348936530205,0.0178782387404103,0.114478088888767,0.00344576460325086,0.00621851049928222,0.06499973780749,0.0505320781558072,0.00132836565072067,0.000226396346260186,0.0208340235550219
"4",0.0294967478754681,0.00937602178745443,0.00468723042268725,0.01640868959181,0.110984515055092,0.00329248203977817,0.00590259486775136,0.062352875889865,0.049653404915529,0.00128244260296353,0.000203823574908123,0.0202837844882394
"5",0.0269244397651771,0.00852609552843609,0.00426230823519321,0.0149778355895885,0.100572100547288,0.00298706416843891,0.0053602108945172,0.056575452096651,0.0457659358577069,0.00118432462047969,0.000189650016400115,0.0187197173391059
"6",0.0300501312452092,0.00967446142435264,0.00483636532323884,0.0169702251058769,0.116179791153114,0.00341914451704448,0.00612435155986826,0.0650811328249096,0.051654322063629,0.00131831521685985,0.000197899786057001,0.0210473471165353
"7",0.0285012085743695,0.00928082454599178,0.00463962335915371,0.0161778867119153,0.112685780484465,0.00330094786392256,0.0059005955290369,0.0629197400349199,0.0505676456269097,0.00128373746230388,0.000188133682324107,0.0205491346541539
"8",0.0274990802559714,0.00893607796320267,0.00446727033304455,0.0155973669133298,0.108289625932076,0.00317465229317928,0.00567706646933655,0.0605010302596401,0.0490456322172886,0.00124699636323479,0.000184061739672954,0.0199437019044196
"9",0.0223077730891993,0.00715254048184957,0.00357566607466741,0.0125057410779265,0.0854610572280356,0.00252324792944212,0.0045191118282346,0.047907070606391,0.0504804755833662,0.00131134772939209,0.000214031899517363,0.0206432238026867
"210",0.0223077730891993,0.00715254048184957,0.00357566607466741,0.0125057410779265,0.0854610572280356,0.00252324792944212,0.0045191118282346,0.047907070606391,0.0504804755833662,0.00131134772939209,0.000214031899517363,0.0206432238026867
"31",0.0223077730891993,0.00715254048184957,0.00357566607466741,0.0125057410779265,0.0854610572280356,0.00252324792944212,0.0045191118282346,0.047907070606391,0.0504804755833662,0.00131134772939209,0.000214031899517363,0.0206432238026867
"41",0.0223077730891993,0.00715254048184957,0.00357566607466741,0.0125057410779265,0.0854610572280356,0.00252324792944212,0.0045191118282346,0.047907070606391,0.0504804755833662,0.00131134772939209,0.000214031899517363,0.0206432238026867
"51",0.0223077730891993,0.00715254048184957,0.00357566607466741,0.0125057410779265,0.0854610572280356,0.00252324792944212,0.0045191118282346,0.047907070606391,0.0504804755833662,0.00131134772939209,0.000214031899517363,0.0206432238026867
"61",0.0223077730891993,0.00715254048184957,0.00357566607466741,0.0125057410779265,0.0854610572280356,0.00252324792944212,0.0045191118282346,0.047907070606391,0.0504804755833662,0.00131134772939209,0.000214031899517363,0.0206432238026867
"71",0.0223077730891993,0.00715254048184957,0.00357566607466741,0.0125057410779265,0.0854610572280356,0.00252324792944212,0.0045191118282346,0.047907070606391,0.0504804755833662,0.00131134772939209,0.000214031899517363,0.0206432238026867
"81",0.0223077730891993,0.00715254048184957,0.00357566607466741,0.0125057410779265,0.0854610572280356,0.00252324792944212,0.0045191118282346,0.047907070606391,0.0504804755833662,0.00131134772939209,0.000214031899517363,0.0206432238026867
"9.1",0.0223077730891993,0.00715254048184957,0.00357566607466741,0.0125057410779265,0.0854610572280356,0.00252324792944212,0.0045191118282346,0.047907070606391,0.0504804755833662,0.00131134772939209,0.000214031899517363,0.0206432238026867
"10",0.0223077730891993,0.00715254048184957,0.00357566607466741,0.0125057410779265,0.0854610572280356,0.00252324792944212,0.0045191118282346,0.047907070606391,0.0504804755833662,0.00131134772939209,0.000214031899517363,0.0206432238026867
