region year total_emission lognat_absolute final_emission total_CO2 lognat_CO2 final_CO2
north 1990 288.34326762529 -66.4633637580213 221.879903867269 -1.0572586479594 0.243699000446078 -0.813559647513318
north 1991 365.69356654968 -158.988577096959 206.704989452721 -1.34087641068216 0.582958116022182 -0.757918294659978
north 1992 362.921947999167 -84.3318495950912 278.590098404076 -1.33071380933028 0.309216781848668 -1.02149702748161
north 1993 481.512829772 -62.4053248710852 419.107504900915 -1.76554704249733 0.228819524527312 -1.53672751797002
north 1994 486.807150508811 -24.0134555617304 462.793694947081 -1.78495955186564 0.0880493370596782 -1.69691021480596
north 1995 439.271866465588 -17.3900701762022 421.881796289386 -1.61066351037382 0.0637635906460746 -1.54689991972775
north 1996 425.178340473743 -66.6581254518379 358.520215021905 -1.55898724840372 0.244413126656739 -1.31457412174698
north 1997 430.663390630452 -15.8650300339801 414.798360596472 -1.57909909897832 0.0581717767912604 -1.52092732218706
north 1998 347.748044656887 26.7266449698852 374.474689626772 -1.27507616374192 -0.0979976982229122 -1.37307386196483
north 1999 310.508939293357 44.0029370423239 354.511876335681 -1.13853277740898 -0.161344102488521 -1.2998768798975
north 2000 278.956962718046 65.3984805152262 344.355443233272 -1.02284219663283 -0.239794428555829 -1.26263662518866
north 2001 197.048241854761 87.7694101737546 284.817652028515 -0.722510220134122 -0.3218211706371 -1.04433139077122
north 2002 216.245313984175 74.6582809106315 290.903594894806 -0.792899484608641 -0.273747030005649 -1.06664651461429
north 2003 164.239524205709 93.2488043214957 257.488328527205 -0.602211588754266 -0.341912282512151 -0.944123871266417
north 2004 174.7167679084 167.07047797534 341.78724588374 -0.640628148997466 -0.612591752576247 -1.25321990157371
north 2005 111.196202632564 166.208386633751 277.404589266316 -0.407719409652735 -0.609430750990422 -1.01715016064316
north 2006 -15.9717286416352 110.366886525074 94.3951578834386 0.0585630050193292 -0.404678583925271 -0.346115578905941
north 2007 -115.523322349386 160.631487744519 45.1081653951333 0.423585515281082 -0.588982121729904 -0.165396606448822
north 2008 -122.183356885392 225.75822114156 103.574864256169 0.448005641913102 -0.827780144185722 -0.379774502272619
north 2009 -136.250969821237 75.2939173534467 -60.9570524677907 0.499586889344537 -0.276077696962638 0.223509192381899
north 2010 -172.582086877596 193.595617813719 21.0135309361235 0.632800985217851 -0.709850598650304 -0.0770496134324528
north 2011 -264.884375891221 204.254076415813 -60.6302994754085 0.971242711601144 -0.748931613524646 0.222311098076498
north 2012 -318.204553682672 185.248687625832 -132.95586605684 1.1667500301698 -0.679245187961384 0.487504842208413
north 2013 -392.121543644974 220.791232470926 -171.330311174048 1.4377789933649 -0.809567852393394 0.62821114097151
north 2014 -415.026914223551 201.351830519773 -213.675083703778 1.52176535215302 -0.738290045239167 0.783475306913854
north 2015 -438.562550361897 180.362691948324 -258.199858413573 1.60806268466029 -0.661329870477188 0.946732814183103
north 2016 -508.281047319412 155.518907279833 -352.762140039579 1.86369717350451 -0.570235993359388 1.29346118014512
north 2017 -500.722596743761 177.937334667416 -322.785262076345 1.83598285472712 -0.652436893780524 1.1835459609466
north 2018 -545.252466270722 256.970758333656 -288.281707937066 1.99925904299265 -0.94222611389007 1.05703292910258
north 2019 -517.424990698592 241.00849046599 -276.416500232603 1.89722496589484 -0.883697798375296 1.01352716751954
north 2020 -588.71346632135 198.373718205231 -390.339748116119 2.15861604317828 -0.727370300085846 1.43124574309244
north 2021 -664.114601009865 216.191306571663 -447.923294438202 2.4350868703695 -0.792701457429432 1.64238541294007
south 1990 -775.81126473816 153.612837179293 -622.198427558867 2.84464130403992 -0.563247069657406 2.28139423438251
south 1991 -729.075574017831 -28.9004202033162 -757.975994221147 2.67327710473205 0.105968207412159 2.77924531214421
south 1992 -770.608349908738 84.6828407092873 -685.925509199451 2.82556394966537 -0.310503749267387 2.51506020039799
south 1993 -657.766615759709 134.24668598252 -523.519929777189 2.41181092445227 -0.492237848602575 1.91957307584969
south 1994 -657.040792405821 262.26437867676 -394.776413729061 2.40914957215468 -0.961636055148119 1.44751351700656
south 1995 -721.143040758459 283.174081218478 -437.968959539981 2.64419114944768 -1.03830496446775 1.60588618497993
south 1996 -718.571932300233 163.078405214586 -555.493527085647 2.63476375176752 -0.597954152453483 2.03680959931404
south 1997 -712.885405005886 299.844211494166 -413.04119351172 2.61391315168825 -1.09942877547861 1.51448437620964
south 1998 -761.796804157703 324.826773108576 -436.970031049127 2.79325494857825 -1.19103150139811 1.60222344718013
south 1999 -803.606213476959 323.648302556306 -479.957910920653 2.94655611608218 -1.18671044270645 1.75984567337573
south 2000 -827.018917716191 331.325439486797 -495.693478229394 3.0324026982927 -1.21485994478492 1.81754275350778
south 2001 -908.922983492071 268.070137950315 -640.852845541756 3.33271760613759 -0.982923839151154 2.34979376698644
south 2002 -899.536213906054 264.518567527717 -635.017646378337 3.29829945098886 -0.969901414268295 2.32839803672057
south 2003 -948.146690700652 252.585884292088 -695.560806408564 3.47653786590239 -0.926148242404324 2.55038962349807
south 2004 -968.577114856953 304.241295146242 -664.335819710711 3.55144942114216 -1.11555141553622 2.43589800560594
south 2005 -1012.49670515489 260.792223836803 -751.704481318084 3.71248791890125 -0.956238154068277 2.75624976483298
south 2006 -1184.84568074053 195.138137416005 -989.707543324529 4.34443416271529 -0.715506503858683 3.62892765885661
south 2007 -1286.19604964832 301.166275804815 -985.029773843503 4.71605218204383 -1.10427634461766 3.61177583742618
south 2008 -1315.44373899105 220.184791540865 -1095.25894745018 4.82329370963384 -0.807344235649838 4.015949473984
south 2009 -1328.68317790251 70.0809895202734 -1258.60218838224 4.87183831897588 -0.256963628241003 4.61487469073488
south 2010 -1391.9568529269 284.49932767889 -1107.45752524801 5.10384179406531 -1.04316420148926 4.06067759257604
south 2011 -1485.83595927951 261.70031811797 -1224.13564116154 5.44806518402487 -0.959567833099222 4.48849735092565
south 2012 -1580.82191663228 233.080163835915 -1347.74175279636 5.79634702765168 -0.854627267398356 4.94171976025332
south 2013 -1681.24667206353 371.235855786479 -1310.01081627705 6.16457113089962 -1.36119813788376 4.80337299301586
south 2014 -1741.99368151187 355.851786053354 -1386.14189545852 6.38731016554353 -1.30478988219563 5.0825202833479
south 2015 -1795.21395567052 414.808306031236 -1380.40564963928 6.5824511707919 -1.5209637887812 5.0614873820107
south 2016 -1887.69681131656 450.936977814443 -1436.75983350212 6.9215549748274 -1.65343558531962 5.26811938950778
south 2017 -1894.48577735682 465.348922804624 -1429.1368545522 6.94644785030835 -1.70627938361696 5.24016846669139
south 2018 -1942.42818168658 569.27877465096 -1373.14940703562 7.12223666618413 -2.08735550705352 5.03488115913061
south 2019 -1914.53623956313 425.86167197187 -1488.67456759126 7.01996621173149 -1.56149279723019 5.4584734145013
south 2020 -1985.29606479818 286.349253817074 -1698.9468109811 7.27941890425998 -1.04994726399594 6.22947164026404
south 2021 -2075.56073425041 345.919697150502 -1729.64103709991 7.61038935891818 -1.26837222288517 6.342017136033
