year;param;region;value;scenario
1990;total_CO2;north;-0.0194347952255052;3
1990;total_CO2;south;3.32853261527128;3
1990;total_CO2;total;3.30909782004577;3
1990;lognat_CO2;north;0.22395567453174;3
1990;lognat_CO2;south;-0.52249023498202;3
1990;lognat_CO2;total;-0.29853456045028;3
1990;final_CO2;north;0.204520879306235;3
1990;final_CO2;south;2.80604238028926;3
1990;final_CO2;total;3.01056325959549;3
1991;total_CO2;north;-0.0301772624178883;3
1991;total_CO2;south;3.32646524020268;3
1991;total_CO2;total;3.29628797778479;3
1991;lognat_CO2;north;0.173957842243374;3
1991;lognat_CO2;south;-0.496719979762251;3
1991;lognat_CO2;total;-0.322762137518877;3
1991;final_CO2;north;0.143780579825486;3
1991;final_CO2;south;2.82974526044043;3
1991;final_CO2;total;2.97352584026591;3
1992;total_CO2;north;-0.0409293425830604;3
1992;total_CO2;south;3.32496067595948;3
1992;total_CO2;total;3.28403133337642;3
1992;lognat_CO2;north;0.131909457839891;3
1992;lognat_CO2;south;-0.473712937014919;3
1992;lognat_CO2;total;-0.341803479175028;3
1992;final_CO2;north;0.0909801152568309;3
1992;final_CO2;south;2.85124773894456;3
1992;final_CO2;total;2.9422278542014;3
1993;total_CO2;north;-0.0516565507765021;3
1993;total_CO2;south;3.32379232856831;3
1993;total_CO2;total;3.27213577779181;3
1993;lognat_CO2;north;0.0965635750051069;3
1993;lognat_CO2;south;-0.452782243285455;3
1993;lognat_CO2;total;-0.356218668280348;3
1993;final_CO2;north;0.0449070242286048;3
1993;final_CO2;south;2.87101008528286;3
1993;final_CO2;total;2.91591710951146;3
1994;total_CO2;north;-0.0624111168596051;3
1994;total_CO2;south;3.32351001058779;3
1994;total_CO2;total;3.26109889372818;3
1994;lognat_CO2;north;0.0665474422761042;3
1994;lognat_CO2;south;-0.434450885552668;3
1994;lognat_CO2;total;-0.367903443276564;3
1994;final_CO2;north;0.00413632541649901;3
1994;final_CO2;south;2.88905912503512;3
1994;final_CO2;total;2.89319545045162;3
1995;total_CO2;north;-0.0731289700476049;3
1995;total_CO2;south;3.32436850703517;3
1995;total_CO2;total;3.25123953698757;3
1995;lognat_CO2;north;0.0404668556045305;3
