year;param;region;value;scenario
1990;total_CO2;north;-0.0194347950917825;2
1990;total_CO2;south;3.32853261618664;2
1990;total_CO2;total;3.30909782109485;2
1990;lognat_CO2;north;0.22395567453174;2
1990;lognat_CO2;south;-0.52249023498202;2
1990;lognat_CO2;total;-0.29853456045028;2
1990;final_CO2;north;0.204520879439958;2
1990;final_CO2;south;2.80604238120462;2
1990;final_CO2;total;3.01056326064457;2
1991;total_CO2;north;-0.0561144036744877;2
1991;total_CO2;south;3.28912662623084;2
1991;total_CO2;total;3.23301222255635;2
1991;lognat_CO2;north;0.571581006486526;2
1991;lognat_CO2;south;0.151120651043167;2
1991;lognat_CO2;total;0.722701657529693;2
1991;final_CO2;north;0.515466602812038;2
1991;final_CO2;south;3.44024727727401;2
1991;final_CO2;total;3.95571388008604;2
1992;total_CO2;north;-0.093135478338452;2
1992;total_CO2;south;3.25041068818015;2
1992;total_CO2;total;3.15727520984169;2
1992;lognat_CO2;north;0.297476351776636;2
1992;lognat_CO2;south;-0.273836686915822;2
1992;lognat_CO2;total;0.0236396648608143;2
1992;final_CO2;north;0.204340873438184;2
1992;final_CO2;south;2.97657400126432;2
1992;final_CO2;total;3.18091487470251;2
1993;total_CO2;north;-0.130529828813564;2
1993;total_CO2;south;3.21206852701776;2
1993;total_CO2;total;3.0815386982042;2
1993;lognat_CO2;north;0.218736598822325;2
1993;lognat_CO2;south;-0.459779033860917;2
1993;lognat_CO2;total;-0.241042435038592;2
1993;final_CO2;north;0.0882067700087618;2
1993;final_CO2;south;2.75228949315684;2
1993;final_CO2;total;2.84049626316561;2
1994;total_CO2;north;-0.168203604698695;2
1994;total_CO2;south;3.1748458812427;2
1994;total_CO2;total;3.00664227654401;2
1994;lognat_CO2;north;0.0707785998133449;2
1994;lognat_CO2;south;-0.931785959223049;2
1994;lognat_CO2;total;-0.861007359409704;2
1994;final_CO2;north;-0.0974250048853501;2
1994;final_CO2;south;2.24305992201965;2
1994;final_CO2;total;2.1456349171343;2
1995;total_CO2;north;-0.206153003067415;2
1995;total_CO2;south;3.13889956700264;2
1995;total_CO2;total;2.93274656393522;2
1995;lognat_CO2;north;0.042342243240381;2
1995;lognat_CO2;south;-1.01699460338629;2
