"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"Rhtkg.emis.nf",-2.85861477319635,-2.85876394560976,-2.82315679994568,-2.79809280689715,-2.76837729646061,-2.7449833874786,-2.73455438353868,-2.70580429989264,-2.67901727934876,-2.65566945725589,-2.63175172354162,-2.60760671620335,-2.58191188026384,-2.57317000408326,-2.57002789179484,-2.56939413842047,-2.57748624647429,-2.56192935822784,-2.52410012364155,-2.52781291836024,-2.48222561273565,-2.45482377965232,-2.44963538518552,-2.44249839517777,-2.44478161973609,-2.44887103734965,-2.45720602057764,-2.45580121652336,-2.44321486065164
"Mtkg.emis.nf",-2.50161477319635,-2.50176394560976,-2.46615679994568,-2.44109280689715,-2.41137729646061,-2.3879833874786,-2.37755438353868,-2.34880429989264,-2.32201727934876,-2.29866945725589,-2.27475172354162,-2.25060671620335,-2.22491188026384,-2.21617000408326,-2.21302789179484,-2.21239413842047,-2.22048624647429,-2.20492935822784,-2.16710012364155,-2.17081291836024,-2.12522561273565,-2.09782377965232,-2.09263538518552,-2.08549839517777,-2.08778161973609,-2.09187103734965,-2.10020602057764,-2.09880121652336,-2.08621486065164
"Ptkg.emis.nf",-1.62361477319635,-1.62376394560976,-1.58815679994568,-1.56309280689715,-1.53337729646061,-1.5099833874786,-1.49955438353868,-1.47080429989264,-1.44401727934876,-1.42066945725589,-1.39675172354162,-1.37260671620336,-1.34691188026384,-1.33817000408326,-1.33502789179484,-1.33439413842047,-1.34248624647429,-1.32692935822784,-1.28910012364155,-1.29281291836024,-1.24722561273565,-1.21982377965232,-1.21463538518552,-1.20749839517777,-1.20978161973609,-1.21387103734965,-1.22220602057764,-1.22080121652336,-1.20821486065164
"Vatkg.emis.nf",-1.01961477319635,-1.01976394560976,-0.984156799945681,-0.959092806897148,-0.92937729646061,-0.905983387478602,-0.895554383538682,-0.86680429989264,-0.840017279348762,-0.816669457255887,-0.792751723541618,-0.768606716203355,-0.742911880263842,-0.734170004083255,-0.731027891794842,-0.730394138420471,-0.738486246474287,-0.722929358227844,-0.685100123641554,-0.688812918360241,-0.643225612735647,-0.615823779652316,-0.610635385185518,-0.60349839517777,-0.605781619736093,-0.609871037349652,-0.618206020577638,-0.616801216523362,-0.60421486065164
"Jatkg.emis.nf",0.0423852268036462,0.0422360543902431,0.0778432000543192,0.102907193102852,0.132622703539389,0.156016612521398,0.166445616461318,0.19519570010736,0.221982720651238,0.245330542744112,0.269248276458382,0.293393283796645,0.319088119736157,0.327829995916745,0.330972108205158,0.331605861579528,0.323513753525713,0.339070641772155,0.376899876358446,0.373187081639759,0.418774387264353,0.446176220347684,0.451364614814481,0.45850160482223,0.456218380263907,0.452128962650348,0.443793979422361,0.445198783476638,0.457785139348359
