"region" "ipcc" "soil" "X1989" "X1990" "X1991" "X1992" "X1993" "X1994" "X1995" "X1996" "X1997" "X1998" "X1999" "X2000" "X2001" "X2002" "X2003" "X2004" "X2005" "X2006" "X2007" "X2008" "X2009" "X2010" "X2011" "X2012" "X2013" "X2014" "X2015" "X2016" "X2017" "X2018"
"30" 1 80 99 2333941 2334015 2334089 2334227 2334365 2334445 2334466 2334502 2334489 2334490 2334624 2334871 2335167 2335448 2335714 2335975 2336108 2336114 2336120 2336478 2336701 2336924 2337209 2337494 2337427 2337427 2337427 2337427 2337427 2337427
"31" 2 1 1 7182343 7182015 7181758 7181719 7181636 7181708 7181573 7181003 7179637 7178455 7176875 7174752 7172388 7169775 7166543 7162663 7158785 7154975 7151438 7147819 7144705 7142143 7139321 7136566 7134405 7132680 7131128 7130424 7130333 7130333
"32" 2 1 2 3326971 3329301 3331337 3333590 3335623 3337466 3338972 3340657 3341574 3342638 3343211 3343214 3342504 3340926 3338951 3336723 3333933 3331089 3329102 3327181 3325392 3324367 3324507 3324545 3324070 3323933 3323613 3322273 3321206 3320387
"33" 2 1 99 10509314 10511316 10513095 10515309 10517259 10519174 10520545 10521660 10521211 10521093 10520086 10517966 10514892 10510701 10505494 10499386 10492718 10486064 10480540 10475000 10470097 10466510 10463828 10461111 10458475 10456613 10454741 10452697 10451539 10450720
"34" 2 2 1 263355 262785 262435 261937 261497 260979 260455 259557 258874 258347 258333 258539 259042 259916 260720 261077 261442 261640 261727 261652 261996 262165 262942 263555 264164 264510 264951 264951 264860 264860
"35" 2 2 2 64029 64386 64743 64518 64015 63528 62985 62677 63110 63677 64648 65953 67590 70299 73218 75857 78125 80150 80785 81031 81121 81471 81668 82137 83043 83949 84858 85767 86403 86949
"36" 2 2 99 327384 327171 327178 326455 325512 324507 323440 322234 321984 322024 322981 324492 326632 330215 333938 336934 339567 341790 342512 342683 343117 343636 344610 345692 347207 348459 349809 350718 351263 351809
"37" 2 3 1 26671 26385 26172 25886 25499 25198 24910 24860 24824 24714 24517 24523 24219 23899 23828 23986 24072 24230 24376 24793 24966 25050 25135 25304 25036 24856 24856 24947 25038 25311
"38" 2 3 2 28476 27153 25759 24726 23707 22691 22116 21615 20898 20346 19969 19548 19084 18794 18500 18206 18308 18626 18702 19019 19336 19330 19233 19306 19215 19124 19033 19033 19033 19033
"39" 2 3 99 55147 53538 51931 50612 49206 47889 47026 46475 45722 45060 44486 44071 43303 42693 42328 42192 42380 42856 43078 43812 44302 44380 44368 44610 44251 43980 43889 43980 44071 44344
"40" 2 3.3 1 9323 9540 9685 9830 9975 10047 10047 10047 10047 10047 10047 10119 10191 10263 10335 10407 10407 10407 10407 10407 10407 10407 10407 10407 10407 10407 10407 10407 10407 10407
"41" 2 3.3 2 14981 14981 14981 15053 15125 15197 15269 15341 15341 15341 15341 15341 15341 15341 15341 15341 15341 15341 15341 15341 15341 15341 15341 15341 15341 15341 15341 15341 15341 15341
"42" 2 3.3 99 24304 24521 24666 24883 25100 25244 25316 25388 25388 25388 25388 25460 25532 25604 25676 25748 25748 25748 25748 25748 25748 25748 25748 25748 25748 25748 25748 25748 25748 25748
"43" 2 3.5 1 6991 6991 6843 6695 6547 6399 6251 6251 6251 6251 6179 6107 6035 5963 6043 6272 6501 6730 6959 7037 7037 7037 7037 7037 7037 7037 7037 7037 7037 7037
"44" 2 3.5 2 362 362 362 362 362 362 362 362 362 362 362 362 362 510 733 956 1179 1402 1477 1477 1477 1477 1477 1477 1477 1477 1477 1477 1477 1477
"45" 2 3.5 99 7353 7353 7205 7057 6909 6761 6613 6613 6613 6613 6541 6469 6397 6473 6776 7228 7680 8132 8436 8514 8514 8514 8514 8514 8514 8514 8514 8514 8514 8514
"46" 2 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"47" 2 4 2 2527620 2525979 2524488 2522857 2521333 2519717 2517857 2515898 2514278 2512730 2511189 2510250 2509403 2508567 2507759 2507238 2506244 2505464 2505169 2504687 2504362 2503882 2502655 2501001 2499933 2498955 2498457 2498706 2499137 2499319
"48" 2 4 99 2527620 2525979 2524488 2522857 2521333 2519717 2517857 2515898 2514278 2512730 2511189 2510250 2509403 2508567 2507759 2507238 2506244 2505464 2505169 2504687 2504362 2503882 2502655 2501001 2499933 2498955 2498457 2498706 2499137 2499319
"49" 2 5 1 240240 241060 241736 242488 243359 244241 245425 247061 249294 251375 253327 255370 257858 260210 262929 266594 270693 274599 278355 282293 285809 289056 291954 294865 297504 299545 300838 301724 302088 302088
"50" 2 5 2 5861 6280 6551 6822 7108 7236 7354 7461 7558 7616 7659 7688 7554 7406 7258 7267 7276 7433 7590 7747 7747 7747 7747 7747 7747 7747 7747 7747 7747 7747
"51" 2 5 99 246101 247340 248287 249310 250467 251477 252779 254522 256852 258991 260986 263058 265412 267616 270187 273861 277969 282032 285945 290040 293556 296803 299701 302612 305251 307292 308585 309471 309835 309835
"52" 2 6 1 1218668 1218668 1218668 1218668 1218668 1218668 1218668 1218668 1218668 1218668 1218740 1218812 1218884 1218956 1219028 1219028 1219028 1219028 1219028 1218818 1218608 1218398 1218188 1217978 1217978 1217978 1217978 1217978 1217978 1217978
"53" 2 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"54" 2 6 99 1218668 1218668 1218668 1218668 1218668 1218668 1218668 1218668 1218668 1218668 1218740 1218812 1218884 1218956 1219028 1219028 1219028 1219028 1219028 1218818 1218608 1218398 1218188 1217978 1217978 1217978 1217978 1217978 1217978 1217978
"55" 2 42 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"56" 2 42 2 25763 25621 25842 26135 26832 27849 29042 29828 30570 30719 30889 30708 30831 30461 30100 29671 29952 30172 30830 31984 32982 33415 33674 34020 33929 33747 33565 33474 33201 33019
"57" 2 42 99 25763 25621 25842 26135 26832 27849 29042 29828 30570 30719 30889 30708 30831 30461 30100 29671 29952 30172 30830 31984 32982 33415 33674 34020 33929 33747 33565 33474 33201 33019
"58" 2 80 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"59" 2 80 2 1117674 1117821 1117968 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042
"60" 2 80 99 1117674 1117821 1117968 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042 1118042
"61" 99 1 1 16108094 16110362 16112348 16113485 16112756 16112220 16111382 16109578 16105903 16102038 16096304 16088579 16078153 16067083 16054539 16040868 16027588 16015574 16003174 15991068 15979312 15966951 15954290 15943248 15933780 15925649 15919166 15914694 15910577 15906486
"62" 99 1 2 5993621 5998633 6003158 6007204 6010263 6013111 6015111 6017182 6018160 6018934 6018657 6017407 6015166 6011819 6007539 6003219 5998090 5992785 5988341 5984568 5979656 5975814 5973172 5970469 5967102 5965657 5964161 5961651 5960157 5959038
"63" 99 1 99 22101715 22108995 22115506 22120689 22123019 22125331 22126493 22126760 22124063 22120972 22114961 22105986 22093319 22078902 22062078 22044087 22025678 22008359 21991515 21975636 21958968 21942765 21927462 21913717 21900882 21891306 21883327 21876345 21870734 21865524
"64" 99 2 1 2259390 2255339 2251529 2248016 2245002 2241795 2238233 2234391 2230677 2227284 2225134 2224298 2224513 2226028 2227671 2228122 2228384 2227855 2226460 2225361 2225591 2225891 2227091 2228432 2229611 2229909 2229932 2229207 2228228 2226982
"65" 99 2 2 216845 216528 216211 215306 214432 213629 213059 212639 213017 213480 214616 216477 219163 223407 228382 233139 237149 240885 242946 244587 246310 248599 250649 252980 255336 257257 258884 260410 261586 262518
"66" 99 2 99 2476235 2471867 2467740 2463322 2459434 2455424 2451292 2447030 2443694 2440764 2439750 2440775 2443676 2449435 2456053 2461261 2465533 2468740 2469406 2469948 2471901 2474490 2477740 2481412 2484947 2487166 2488816 2489617 2489814 2489500
"67" 99 3 1 112763 110897 108725 106328 104328 102145 100309 98953 98116 96928 95939 95207 94625 93710 93394 93476 93629 93457 93712 93684 93609 93484 93653 93666 93562 93702 94128 94895 96029 97549
"68" 99 3 2 59244 55662 52075 49061 46541 44156 42488 41373 40379 39616 39387 39190 38612 38224 38134 37715 37635 37850 37546 37129 36900 36404 35956 35949 35701 35535 35444 35444 35385 35403
"69" 99 3 99 172007 166559 160800 155389 150869 146301 142797 140326 138495 136544 135326 134397 133237 131934 131528 131191 131264 131307 131258 130813 130509 129888 129609 129615 129263 129237 129572 130339 131414 132952
"70" 99 3.3 1 31886 32248 32538 32822 33106 33317 33456 33595 33668 33668 33668 33740 33812 33884 33956 34028 34028 34158 34416 34674 34932 35190 35454 35590 35794 35998 36202 36270 36338 36338
